# Baleful Utterance · Book II, p. 530 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	530
H3	A whispering… word?
P	<i>magical</i><b>,</b> <i>immobile</i><b>,</b> <i>terrifying</i>
P	Hidden from the sun, in a ring of runes, there is a... word?... floating in the air. Squiggling and wriggling, yearning to be free, it whispers promises of power. But the runes around it fill you with dread.
P	To unlock its secrets, you must…
C	… master your fear, forcing yourself to grasp it and take it inside of you.
C	… hold tight as it wracks your body and soul, attempting to unmake you (2d6 damage, <i>messy</i>, ignores armor).
C	… spend weeks in isolation, wrapping your mind around the dread word that now lives in your head.
C	… risk corrupting your locale and destroying your possessions or anything else nearby as you practice speaking the dread word aloud.
H3	Baleful Utterance
P	When you <b><i>speak the dread word</i></b>, name an object that your voice can reach—it shatters, unravels, or is otherwise unmade.
P	Then roll +CON: <b>on a 10+</b>, pick 1; <b>on a 7-9</b>, pick 1 and the GM picks another; <b>on a 6-</b>, pick 1 in addition to whatever else the GM says; <b>regardless</b>, if the item you destroyed was <i>indestructible</i>, pick 1 more.
B	Your throat burns and your tongue blisters; mark <i>miserable</i> and you can barely whisper for a few days.
B	Your ears and those of all who heard the word start bleeding (1d4 damage, ignores armor, temporarily deafened).
B	1d4 other objects of the GM's choice also shatter/unravel/are unmade.
B	This place is corrupted by the Things Below; if already corrupted, it gets worse; otherwise, it is now a shunned place, a place of disquiet and unease.
