# Bittersweet Elixir · Book II, p. 537 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	537
H3	A redwood basin
P	◇◇, <i>magical, beautiful</i>
P	A wide, shallow bowl carved with flowers and thorny vines, twining through skulls of deer and other beasts. The pattern shifts when you aren't looking; it's never exactly the same twice.
P	To unlock the mysteries of the basin, you must...
C	… befriend the spirit of life and vitality that dwells within.
C	… learn from a Fae how to pour years of your life into the basin.
C	… fill the basin with a few years of your life.
P	When you <b><i>mark the last requirement and unlock</i></b> <b><i>this arcanum</i></b>, mark your current age on the other side. Then trigger the Bittersweet Elixir move.
H3	Bittersweet Elixir
P	◇ youthful, ◇ mature, ◇ elderly
P	When you <b><i>fill the basin with a few years of your</i></b> <b><i>life</i></b>, it becomes a draught of honey and regret.
P	Either mark the next age above (and update your look) as the lost years catch up with you, or mark one of the following (your choice):
C	Your mood shifts, dramatically (how?)
C	You see the Last Door (what's it like?)
C	Reduce STR, DEX, or CON by 1
C	You have less than a year to live
P	When someone <b><i>drinks down all of the bittersweet elixir, straight from the basin</i></b>, they pick 1:
B	Regain all HP, clear all debilities, and heal any active problematic wounds
B	Purge themselves of all poison/disease
B	Fully recover from a permanent injury by next season's end, or sooner
