# Chimeric Transmogrification · Book II, p. 521 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	521
H3	A stretched vellum
P	◇◇, <i>fragile</i>
P	Stretched taut on a wooden frame, this old vellum is filled with the intricate and looping glyphs of the Green Lords. Drawings show creatures changing to have traits of other beasts. It seems to be the foundation for some sort of spell.
P	To unlock its mysteries and learn the spell, you must…
C	… decipher the Green Lords' glyphs.
C	… spend a few weeks studying and pondering them.
C	… experiment on a beast of at least <i>small</i> size, like a goat, pig, or hound. You risk killing, crippling, or horribly mutating the beast, and possibly driving it mad.
H3	Chimeric Transmogrification
P	When you <b><i>hold forth a bit of one beast (fur, bone,</i></b> <b><i>etc.) and speak the words of chimeric transmogrification upon another</i></b>, roll +INT: <b>on a 10+</b>, the spell works; <b>on a 7-9</b>, the spell works but only if you mark a debility.
P	When <b><i>the spell works</i></b>, roll 1d10+CON. If your roll <b>equals or exceeds the target's current HP</b>, name a feature of the beast you hold—the target's form twists and buckles, gaining that feature until they sleep for a few hours. The experience is disorienting and alarming; most beasts and people will panic. If you roll <b>less than the target's</b> <b>current HP</b>, their form twists and buckles alarmingly for a few seconds, but they fight off the transformation. <b>Either way</b>, the bit of the beast you hold is lost, shriveling away to nothing.
