# Darkwalker Cloak · Book II, p. 528 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	528
H3	A ragged fur cloak
P	◇ <b>,</b> <i>warm</i><b>,</b> <i>magical</i>
P	The hide of some unknown, black-furred beast. Its bristles are stiff and the air nearby is always chill.
P	When you <b><i>don the cloak</i></b>, you can tolerate even the bitterest cold and can see in darkest shadow, but bright light hurts your eyes and the warmth of even a campfire is almost too much to bear.
P	There's more to this ragged fur, to be sure. To unlock its secrets, you must…
C	… wear it continuously for seven days and seven nights.
C	… stalk a warm-blooded beast on a moonless night, smearing its blood on the fur.
C	… suffer (or self-inflict) a grievous wound while wearing the fur, drenching it in your own fresh blood.
H3	Darkwalker Cloak
P	Charges ◇◇◇◇
P	When you <b><i>open your own veins and drench the</i></b> <b><i>fur with your own fresh blood,</i></b> lose 1d8 HP and mark a debility. If the cloak holds no Charges, it gains 1d4 Charges. The scars from the wound are bright white and never fade.
P	When you <b><i>suffer a blow or physical injury while</i></b> <b><i>wearing the Darkwalker Cloak</i></b>, it loses 1 Charge and you transform into a cloud of shadow. You suffer no harm after all and can flit and fly about for a few seconds before reforming. Everything you touch while in this shadowy form is laced with hoarfrost. This effect does not trigger if the fur has no Charges.
P	When <b><i>direct sunlight or holy light touch the</i></b> <b><i>Darkwalker Cloak,</i></b> or <b><i>anyone but you dons it</i></b>, it loses all its Charges.
