# Fear of the Flame · Book II, p. 512 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	512
H3	A richly woven rug
P	◇◇, <i>magical</i>
P	About 4 feet by 7 feet unfurled, woven with stylized patterns of fire and flame. Flickering Maker-runes can be seen in the weaving, always out of focus but hinting at power.
P	You can unlock the secrets of this rug, but you must first…
C	… be marked by fire, losing yourself to the panic or pain of burning.
C	… then, spend weeks in meditation upon the rug and studying the now-clear runes.
C	… allow yourself to be burned by a terrible flame, refusing to cry out and mastering your fear.
H3	Fear of the Flame
P	Heat: ◇◇◇◇◇◇
P	When you <b><i>spend an hour or so on the rug, meditating on the fear of fire that all natural things</i></b> <b><i>possess</i></b>, you hold Terror and mark 1 Heat.
P	◇ <b>Terror</b>: When you <b><i>unleash the Terror</i></b> <b><i>you hold</i></b>, all who see you fear you as they would fear the flame primeval, until you dismiss the effect.
P	When you <b><i>dismiss the effect</i></b>, roll 1d6. If the roll is less than your Heat, then clear all your Heat and you painfully manifest a permanent sign of your connection to the flames: a blistered scar, reddish skin, glowing eyes, a sulfurous smell, etc.
P	When <b><i>a season passes without you unleashing</i></b> <b><i>Terror</i></b>, reduce your Heat by 1.
