# Ffyrnig Tonic · Book II, p. 513 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	513
H3	A huge wooden sphere
P	<i>immobile</i>
P	Half-buried and largely overgrown, about 4 feet across and weighing hundreds of pounds.
P	It is strangely well preserved and adorned with intricate pictograms. A handful of other spheres rot nearby.
P	The pictograms depict some sort of recipe, which you can learn but you must...
C	… first dig up and clean the sphere.
C	… spend weeks studying the glyphs.
C	… acquire some fresh ffyrnig root.
C	… acquire the bile of a wild boar.
P	And then…
C	… you risk getting the recipe wrong, and lethally so.
H3	Ffyrnig Tonic
P	When you <b><i>pickle fresh ffyrnig root in a suspension of boar bile for two full moons</i></b>, it becomes a skin of ffyrnig tonic (3 uses, <i>magical</i>).
P	When you <b><i>take a draught of ffyrnig tonic,</i></b> pick 1:
B	Regain HP equal to ½ half your max
B	Clear a debility
P	Also, you have advantage on your next roll to take bold, physical action. But until you take such an action, you have disadvantage on any rolls that
P	require patience, care, or thoughtfulness.
P	When you <b><i>drink a second draught of ffyrnig tonic</i></b> <b><i>before getting a good night's sleep</i></b>, it has no effect other than to make you ill (mark a debility).
P	12
