# Flaming Sword · Book II, p. 534 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	534
H3	A rusty steel blade
P	◇, <i>close</i>, <i>crude</i>
P	It was clearly once a fine, fine blade. The steel holds a pattern of rune-like sworls, at least where the rust hasn't taken over. The hilt is blackened, with hints of leather wrappings that long ago burned away. The metal is hot to the touch, like it's been left out for hours in the summer sun.
P	To unlock the mysteries of this weapon, you must...
C	… restore the blade, which requires access to a smithy, a few weeks of work, and no small amount of skill.
C	… commune with the spirit of fire within the steel (<b>Instinct</b> to seek glory), and convince it that you are worthy to wield the blade.
C	… acquire a scabbard that can withstand the fire and heat of a forge.
H3	Flaming Sword
P	◇, <i>close</i>, <i>beautiful</i>, +1 damage, 1 piercing
P	Blaze: ◇ nil, ◇ 1d4, ◇ 1d6, ◇ 1d8, ◇ 1d10
P	When you <b><i>call on the fire spirit within,</i></b> the blade erupts in flames (+<i>magical</i>, +<i>dangerous</i>) and casts light (<i>reach</i>, <i>area</i>). The hilt gets hot; wear thick gloves!
P	When you <b><i>Clash with the Flaming Sword</i></b>, after you resolve the move and deal damage, increase the Blaze die one step.
P	When you <b><i>roll to make a move while wielding</i></b> <b><i>the sword</i></b>, take damage equal to the Blaze die (ignores armor).
P	When you <b><i>deal damage with the sword</i></b>, add the Blaze die.
P	When you <b><i>sheathe the sword</i></b>, the fire goes out and cannot be relit until the Blaze die is nil.
P	Reduce the Blaze die once each hour.
