# Flying Cloak · Book II, p. 522 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	522
H3	A cloak, richly embroidered
P	◇, <i>magical</i>, <i>warm</i>
P	An exquisitly fine wool, dyed a pale blue-gray and embroidered with stylized clouds. The edge boasts blue-white runes stitched with aetherium wire. It feels damp, smells of rain and ozone, and flutters in a breeze that isn't there.
P	When you <b><i>don the cloak</i></b>, you become aware of the presence bound within, thrumming and impatient. To unlock the mysteries of the cloak, you must...
C	… learn the name of the bound spirit.
C	… decipher the word of command, embroidered in ancient Maker-script.
C	… bend the spirit to your will, risking its (destructive) escape.
H3	Flying Cloak
P	When you <b><i>wear the cloak and speak the word of</i></b> <b><i>command</i></b>, the storm-spirit in the cloak springs to life and obeys you as a follower. It never wants to land; you must spend its Loyalty or Persuade it.
ICON	icons/spirit.svg
H3	The Spirit in the Cloak
P	<i>Spirit, magical, proud, mute</i>
P	<b>HP</b> 13; <b>Armor</b> 1 (amorphous)
P	<b>Damage</b> lashing wind, rain, debris d6
P	(<i>near, area</i>)
P	<b>Instinct</b> to "not hear" your commands
P	• Bear its master aloft on a cushion of swirling winds
P	• Manifest a storm as it flies
P	• Wreak havoc on its surroundings
P	• Fling lightning from a raging storm, d10+3 (<i>far</i>, <i>forceful</i>, <i>reload</i>)
P	<b>Cost</b> flying about for hours (Loyalty ◇◇◇ )
P	<b>HP</b>
P	Starts at 13
