# Helior's Shining Ring · Book II, p. 516 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	516
H3	A gold ring
P	<i>magical</i>
P	This simple, golden band catches the light and shines, even in darkness. Its very presence fills goodly people with peace and hope, and servants of darkness with jealous hate.
P	You can unlock the secrets of this ring, but must first…
C	… wear the ring continuously for 40 days, witnessing the sunrise each day.
C	… perform an act of charity while wearing the ring, one that changes the recipient's life.
C	… participate in the devout and proper worship of Helior.
H3	Helior's Shining Ring
P	Daylight: ◇◇◇
P	When you <b><i>spend the better part of a day wearing</i></b> <b><i>the ring and worshipping Helior in full sunlight</i></b>, hold 1 Daylight.
P	When you <b><i>wear the ring in shadows or darkness</i></b> <b><i>and spend 1 Daylight</i></b>, the ring shines forth with holy light (<i>near</i>, <i>area</i>) that is painful for creatures of darkness to look at. It glows for a few hours, until you extinguish it, or until another effect (like the Lightbearer's Invocations) uses up its fuel or snuffs it out.
P	Alas, the ring also shines like a psychic beacon while it shines, alerting servants of darkness for miles around to your presence and location.
