# Laoj Daveth's Galvanic Infusion · Book II, p. 508 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	508
H3	An old scroll case
P	◇, <i>fragile</i>
P	A leather scroll case, cracked and age-worn.
P	Inside is a tattered letter and a pair of small, bluish ingots. It's a letter, in an older Hillfolk dialect, from an apprentice to their master. It describes a mental exercise to draw latent power from aetherium.
P	You can learn <b>Laoj Daveth's Galvanic Infusion</b> from the scroll, but…
C	… you must translate the letter.
C	… it'll take a few weeks of dedicated study.
C	… you'll use up one of the aetherium ingots (or another source of aetherium).
C	… you risk electrocuting yourself and/or using up the other ingot.
H3	Laoj Daveth's Galvanic Infusion
P	When you <b><i>touch a piece of aetherium and draw</i></b> <b><i>its power into yourself</i></b>, roll +CON: <b>on a 7+</b>, you absorb the power and gain 1d8 HP (even if this puts you above your max HP); <b>but on a 7-9</b>, the aetherium is drained and crumbles into a chalky mass of verdigris.
P	The spell lasts until you dismiss it or until you roll a 6- on any move. While it lasts, you need not sleep and remain highly alert and focused—gain advantage on any rolls with WIS.
P	If you remain awake for more than a few days, your body grows ever more exhausted and you risk hallucination, paranoia, and addiction.
P	When <b><i>the spell ends,</i></b> you lose 1d8 HP.
