# Little Friend · Book II, p. 527 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	527
H3	A beautiful scroll
P	◇, <i>beautiful</i>, <i>fragile</i>
P	Inside a case of carved ivory rests a scroll made of fine, almost gauzy wool. It is full of glyphs and diagrams, imprinted with rich dyes of red and black and yellow. The diagrams seem to depict some sort of meditative practice, resulting in some kind of familiar spirit?
P	To unlock the mysteries of this scroll, you must…
C	… have some talent for magic.
C	… decipher the Rime Lord glyphs.
C	… spend a few months practicing the meditative techniques it describes.
C	… describe and name the tiny spiritconstruct that you wish to create:
C	… permanently sacrifice 2 HP to invest the tulpa with "life."
H3	Little Friend
P	You have created a tulpa, which you treat as a follower. Pick 2 additional tags, an instinct, 2 additional moves, and its cost.
ICON	icons/arcana.svg
H3	Tulpa
P	<i>Spirit, construct, tiny, naive, eager</i>
C	<i>fierce kind sly timid willful</i>
P	<b>HP</b> 8; <b>Armor</b> 0
P	<b>Damage</b> 1d4 (if that)
P	<b>Instinct</b> to play to learn to flaunt
P	• Manifest a form of dust/snow/vapor
P	• Produce light (<i>area</i>, <i>reach</i>)
P	• Carry/manipulate a ◇ item
P	• Deliver a message
P	• Spy on someone/something
P	<b>Cost</b> respect given new experiences
C	comfort/compassion (Loyalty: ◇◇◇ )
P	<b>HP</b>
P	Starts at 8
