# Mantle Wraiths · Book II, p. 512 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	512
H3	A tattered mantle
P	◇, <i>warm, magical</i>
P	Found on a skeleton that has been stripped clean of flesh and that bears what can only be described as bite marks all along its bones. Close inspection of the mantle reveals sigils woven in silvery thread and human teeth sewn into the fringe like decorative beads.
P	You can unlock the power of this mantle by…
C	… wearing it for three days and three long, long nights, suffering through the nightmares.
C	… bringing to heel the slavering wraiths that are tethered to it.
H3	Mantle Wraiths
P	When you <b><i>let slip the wraiths tethered to the</i></b> <b><i>mantle</i></b>, treat them as followers. They are loathe to return to the mantle; you must spend their Loyalty or Persuade them.
ICON	icons/spirit.svg
H3	Mantle wraiths
P	<i>Group</i> (3), <i>spirit, undead, terrifying, vicious</i>
P	<b>HP</b> 13; <b>Armor</b> 1 (amorphous)
P	<b>Damage</b> life drain d8 (<i>hand</i>, ignores armor)
P	<b>Instinct</b> to run rampant
P	<b>Special qualities</b> powerless in daylight
P	• Whisper their longings to the wearer
P	• Manifest a form of shadow and cold (harmed only by silver and salt)
P	• Hurl themselves at the living
P	• Suck the vitality from their prey
P	<b>Cost</b> souls feasted upon (Loyalty ◇◇◇ )
P	<b>HP</b>
P	Starts at 13 each
P	10
