# Old Mother's Wine · Book II, p. 509 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	509
H3	A small, strange book small, strange book
P	<i>fragile</i>
P	A small manual written on what appears to be sheets of supple leaves. It is written in the common script but in a strangely poetic sequence of nonsense syllables.
P	The manual reveals the recipe for an elderberry wine that brims with Fae magic, but to learn the recipe, you either...
C	… need help from a Fae poet, or perhaps one of the Forest Folk; or...
C	… risk getting the recipe wrong, poisoning or cursing whoever drinks the wine you brew.
H3	Old Mother's Wine
P	Lost memories: ◇◇◇◇◇◇
P	When you <b><i>sacrifice a memory to a berry- laden elder</i></b> <b><i>tree</i></b>, tell us what you gave up. Mark 1 lost memory and roll 1d6; if you roll less than your lost memories, change your instinct and clear your marks.
P	When you <b><i>harvest the berries and spend a season</i></b> <b><i>making wine from them</i></b>, gain a skin of Old Mother's Wine (5 uses, magical).
P	When you <b><i>get tipsy on Old Mother's Wine</i></b>, expend a use. For a night and a day, your eyes are open to Fae magic, meaning:
B	You see the truth behind Fae illusions and glamours
B	You are immune to Fae enchantments
B	You can freely enter Fae domains and walk the Fae paths
B	Time passes normally for you while in Fae domains
