# Peacebond · Book II, p. 519 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	519
H3	A sealed cave
P	<i>magical</i>
P	High in the hills or mountains, one can find a bricked-over cave mouth. Inside lie dozens of corpses, preserved for centuries by the cold.
P	Many have malformations in the jaw, oversized teeth, elongated fingers that taper to claws. Few show signs of violence; they appear to have just laid down and died.
P	Indeed, the looping glyphs carved all over the cave walls sap your will to struggle, to fight, to do much of… anything. You can learn their mysteries, but…
C	… it'll take days of careful transcription, haunted by morose shades.
C	… you risk succumbing to the ennui of the place.
H3	Peacebond
P	When you <b><i>mark a place with the peace-bond</i></b> <b><i>glyphs</i></b>, violence (even to defend oneself) is suppressed in the area as long as the glyphs remain. The longer one stays in a peacebonded area, and the more tightly woven the glyphs are, the greater the effect.
P	When you <b><i>attempt to commit violence within</i></b>
P	<b><i>a peacebonded area, or to harm the peacebond</i></b>
P	<b><i>glyphs themselves</i></b>, you hesitate.
P	If you <b><i>will yourself to continue</i></b>, lose 1d4 HP and roll +WIS: <b>on a 10+</b>, go for it; <b>on a 7-9</b>, you act but have disadvantage on any rolls to commit violence (including damage); <b>on a 6-</b>, you fail to act and mark <i>dazed</i>.
