# Runes of Creation · Book II, p. 539 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	539
H3	A metal puzzle box
P	◇, <i>indestructible</i>
P	A 6" cube of dull gray metal, covered in hinges, knobs, dials, sliders, levers, and the like. A thing of mad genius, resisting all attempts to open it by brute force.
P	To unlock its mysteries, you must...
C	… roll +INT to open the box: <b>on a 10+</b>, it takes a few days of fiddling; <b>on a 7-9</b>, it takes a few obsessive weeks; <b>on a 6-</b>, it's beyond you.
C	… spend a season deciphering the symbols etched along the inside.
C	… risk never being able to decipher the symbols, and/or developing some mental quirk as you do so.
C	… commune with a primordial spirit and learn the Silent Words from it.
C	… spend a few weeks practicing the spell, risking all sorts of harm and collateral damage.
H3	Runes of Creation
P	When you <b><i>carefully inscribe an object with the</i></b> <b><i>runes of creation</i></b>, pick 1 desired effect:
B	It will flow into any shape you imagine
B	It will become <i>indestructible</i>
B	It will become <i>beautiful</i>
B	It will blaze with terrible heat (1d10 damage, <i>messy</i>), if only for a moment
P	When you <b><i>speak the Silent Word that completes</i></b> <b><i>the spell</i></b> (<i>far</i> range) mark a debility as elemental forces flow through you into the object. The effect works, but roll +CON: <b>on a 10+</b>, pick 1; <b>on a 7-9</b>, pick 1 and the GM picks another; <b>on a 6-</b>, all 3.
B	Mark another debility & lose 1d10 HP
B	The elements run amok, triggering a fire/earthquake/avalanche/storm/etc.
B	The effect lasts only while you focus on it, and then the object is damaged in a manner of the GM's choosing 64
