# Sanctifying Mark · Book II, p. 520 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	520
H3	A crumbling arch
P	<i>magical</i>
P	On a rare dry spot in Ferrier's Fen, besieged by foulness, is an ancient arch that still—improbably—stands. Lichen and moss grow thick and healthy, but the keystone remains clear, engraved with a sigil that makes the eyes water and that drives evil away.
P	You can learn the secrets of the sanctifying mark, but to do so you must…
C	… purify yourself in fresh, clean water.
C	… calm your mind, gaze upon the sigil, and roll +WIS: <b>on a 10+</b>, the sigil becomes clear; <b>on a 7-9</b>, the sigil will become clear after a few more days in contemplation;
P	<b>on a 6-</b>, the sigil is beyond your ability to learn.
C	… spend a few days memorizing and practicing the sigil.
H3	Sanctifying Mark
P	When you <b><i>mark an object with the sigil of</i></b> <b><i>sanctification</i></b>, it repels beings of darkness, chaos, and death. Each time you place the mark, part of you (eyes, hair, skin, tongue, etc.) becomes paler, eventually turning a shocking white.
P	When a <b><i>being of darkness, chaos, or death first</i></b> <b><i>tests the power of your mark</i></b>, roll +INT: <b>on a 10+</b>, all such creatures are kept at bay so long as your mark remains inviolate; <b>on a 7-9</b>, such creatures feel the urge to flee and are held back for now, but powerful entities can force themselves to ignore it.
