# Shattering Words of Aalz Childric · Book II, p. 513 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	513
H3	Rune-etched pillars
P	<i>magical</i>
P	Deep under a giant, ruined fort is a vaulted chamber, once a storeroom but looted long, long ago. A giant skeleton lies just inside, face-down, its skull and ribs staved in.
P	Four pillars support the roof, carved with a series of huge runes that thrum with power. You can unlock their secrets, but…
C	… you must spend a few days studying the runes and memorizing their sequence.
C	… you must meditate for a few weeks on the magic that infuses them.
C	… you risk triggering the spell contained in the runes, and collapsing the entire structure.
H3	Shattering Words of Aalz Childric
P	When you <b><i>carve the shattering words of Aalz</i></b> <b><i>Childric into stone or rock</i></b>, designate a key word or phrase.
P	When you or another <b><i>speaks the key word or</i></b> <b><i>phrase and wills the spell to trigger</i></b>, you roll
P	+CON: <b>on a 10+</b>, the rune-carved stone shatters and is immediately reduced to rubble; <b>on a 7-9</b>, the stone cracks and buckles, slowly breaking apart into a number of pieces.
