# Sigil of Authority · Book II, p. 535 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	535
H3	A silvery signet ring
P	<i>magical, beautiful</i>
P	A ring of white metal, untarnished and gleaming, a single glyph carved into the bezel. The symbol squirms under your gaze, like it exists in more dimensions than you can perceive. The ring fits you perfectly, of course.
P	To unlock the ring's mysteries, you must...
C	… spend a season wearing the ring and contemplating the glyph.
C	… get used to the headaches & nausea that come from wearing the ring.
C	… spend 1 of your follower's Loyalty to charge the ring.
C	… attempt to influence one of your followers with the ring, at the risk of failing to ever master its power and/or alienating your follower(s).
H3	Sigil of Authority
P	Authority: ◇◇◇
P	When you <b><i>Strengthen Your Bond</i></b> with a member of your community, you can choose to hold
P	+1 Authority (max 3) in lieu of your follower holding +1 Loyalty. If you <b><i>remove the ring</i></b>, lose all Authority.
P	When you <b><i>Persuade your follower(s) while holding Authority</i></b>, you have advantage.
P	You can spend Authority 1-for-1 to:
B	Wrap yourself in majesty for up to a few minutes, drawing all attention, cowing the weak-willed, and speaking in a voice that all can hear (<i>far</i>, <i>area</i>)
B	Will someone in your presence to do as you wish, attempting to Persuade them without words
B	Have one of your nearby followers suffer an attack on your behalf, as if they held Readiness from Defending
