# Song of the Dool Trees · Book II, p. 514 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	514
H3	A scroll & a bone flute
P	◇, <i>magical</i>
P	A scroll, written in a cramped hand and seemingly nonsensical script, with a series of graph-like diagrams. It is accompanied by a flute of bone (from a human arm?). The notes reveal themselves to be a cipher; the graph is perhaps the notation for a song.
P	You can unlock the secrets of the scroll and flute, but…
C	… you must first decipher the notes, which will take a few weeks of effort.
C	… the first time you use the flute, you risk getting the music wrong and aggravating the dool spirit.
H3	Song of the Dool Trees
P	When you <b><i>stand among dool trees and play the</i></b> <b><i>proper tune on a flute of a murderer's bone</i></b>, you summon a dool spirit and bind it to your service.
P	Treat it as a follower. Only one dool spirit will serve you at a time.
ICON	icons/spirit.svg
H3	Dool spirit
P	<i>Spirit, terrifying, stealthy, devious</i>
P	<b>HP</b> 13; <b>Armor</b> 1 (amorphous)
P	<b>Damage</b> feast on fear d6 (<i>hand</i>, <i>close</i>, ignores armor, disadvantage)
P	<b>Instinct</b> to take things too far
P	<b>Special qualities</b> powerless in bright light
P	• Sense a victim's doubt and worries
P	• Shape sound and shadow to unnerve and frighten
P	• Manifest as its victim's fears (harmed only by one who masters their fear)
P	<b>Cost</b> new, exquisite fears (Loyalty ◇◇◇ )
P	<b>HP</b>
