# The Angry Little God · Book II, p. 538 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	538
H3	A stone idol
P	◇, <i>crude, magical</i>
P	Found at the back of some cave or grotto, obscured by roots and rubble, surrounded by desiccated, rotting offerings. A crude squat thing with a possum's sneering face, a thorny tail, and flowers for its ears.
P	The idol is, in fact, a narcissistic little Fae, stuck (hiding? stubbornly ensconced?) in the form of a stone idol. To unlock its "mysteries" and benefit from its patronage, you must...
C	… restore the shrine, while suffering the abuse of its angry little god.
C	… extract the idol from the stone and rubble in which it's embedded, at the risk of damaging/insulting it.
C	… trick the idol into accepting an offering that puts it in your lasting debt. A Surplus worth of food and/or whisky ought to be enough.
H3	The Angry Little God
P	When you <b><i>put the idol in a prominent place and</i></b> <b><i>beseech it to attend its humble servant,</i></b> it wakes (but is still inert). Treat it as a follower, though it hardly considers itself one.
ICON	icons/fae.svg
H3	All-mighty Thistlewisk
P	<i>Fae, tiny, magical, devious, arrogant</i>
P	<b>HP</b> 15; <b>Armor</b> 6 (stone, resilience), 2 vs. iron <b>Special qualities</b> inert; disembodied voice <b>Instinct</b> to heap abuse on its worshippers
P	• Make unreasonable demands
P	• Consume the essence of foodstuffs
P	• Sense one's idle thoughts/memories
P	• Weave powerful illusions and hallucinations (<i>near</i>, <i>area</i>)
P	• Grow bored/huffy and go to sleep
P	<b>Cost</b> obeisance and ever-larger offerings of food (Loyalty: ◇◇◇ )
P	<b>HP</b>
P	Starts at 15
