# The Drowning Scale · Book II, p. 518 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	518
H3	A strange pendant
P	<i>magical</i>
P	A strange charm on a simple leather cord, like a scale of some shimmering material. It's cold and clammy to the touch. When you first put it on, everyone nearby shivers from cold. Soon thereafter, you start to hear the raspy, inhaling whispers.
P	To unlock the secrets of the pendant…
C	… wear it ceaselessly for a lunar cycle, answering its questions honestly.
C	… hold yourself underwater until you risk drowning.
C	… drown another person, and offer their last gasps to the pendant.
H3	The Drowning Scale
P	Breath: ◇◇◇
P	When you <b><i>lean over a dying person, suck out</i></b> <b><i>their final breath, and breathe it into the pendant</i></b>, roll +CON: <b>on a 10+</b>, hold +1 Breath; <b>on a 7-9</b>, pick 1:
B	Hold 1 Breath, but it tears at your lungs; mark <i>miserable</i> and suffer a nasty coughing fit.
B	The pendant greedily sucks in the last breath, grows colder, and sighs; you, alas, gain no benefit.
P	So long as you hold Breath, you are unfazed and unharmed by extreme cold. Spend 1 Breath to go without air for as long as an hour.
P	When you <b><i>remove the pendant</i></b>, lose any Breath you hold.
