# The Eye, Opened · Book II, p. 519 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	519
H3	A… key?
P	<i>magical</i>, <i>terrifying</i>
P	Secreted away in some Makers' trove is a gleaming white thing, like a key, I guess, but not a specific key, more like the <i>idea</i> of keyness. Hurts to look right at it; makes you aware of your own dying flesh.
P	You don't unlock this key's mysteries, so much as it unlocks you. But only if you…
C	… master your fear and force yourself to touch it.
C	… hold tight as it wracks your mind and soul, refusing to let go.
C	… spend a few weeks dealing with terrible migraines and flashes of color, learning to calm and control your mind's new eye.
H3	The Eye, Opened
P	When you <b><i>spend a few minutes quietly meditating and opening your mind's eye</i></b>, it appears on your forehead as a shining point of light. Base matter and energy are dim and colorless to you, but you see minds and auras in luminous detail.
P	While your <b><i>mind's eye is open</i></b>, you can ask the GM "What thinking entities are present here?"
P	and get an honest answer.
P	When you <b><i>Seek Insight while your mind's eye</i></b> <b><i>is open</i></b>, the questions you can ask become these instead:
B	Are they lying or trying to mislead?
B	What are they really feeling right now?
B	What do they intend to do?
B	What here are they most afraid of?
B	Is something controlling their mind, emotions, or actions, and if so, what?
P	24
