# The Silver Branch · Book II, p. 538 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	538
H3	A treasure map
P	<i>fragile</i>
P	A tattered scrap of parchment. It shows a path from a particular set of standing stones: through a marsh, up a river, to a place behind a waterfall, then through a forest of sword-sharp trees.
P	Forest Folk glyphs are scrawled all about, but at the end: a silver tree, and X marks the spot.
P	To unlock the map's mysteries and claim the prize at the end, you must...
C	… find the standing stones that mark the start of the path.
C	… follow the map to the waterfall.
C	… enter the Fae domain beyond.
C	… navigate the sword-tree forest.
C	… risk falling under the soporific spell of the silver tree.
C	… claim a branch from the silver tree.
C	… make it home again.
H3	The Silver Branch
P	◇, <i>magical</i>, <i>beautiful</i>
C	◇ fresh, ◇ fading, ◇ bare A few feet long, laden with white flowers and jingling golden fruits. Surprisingly sturdy, and stays fresh indefinitely unless its powers are used. Only one such branch can leave the Fae domain at a time.
P	When you <b><i>jingle the silver branch</i></b>, all who hear it (<i>reach</i>, <i>area</i> except you) are filled with bliss and forget their woes for a few hours. Roll +CHA:
P	<b>on a 10+</b>, pick 1; <b>on a 7-9</b>, pick 1 and the GM picks another; <b>on a 6-</b>, all 3.
B	The branch starts to fade; if already fading, it goes bare, its powers gone
B	Some (GM's choice of who) are blissed out for days or weeks, growing weak and wretched in the meantime
B	Some (GM's choice of who) become obsessed with hearing it jingle again
