# The Six Locks of Sajua · Book II, p. 515 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	515
H3	A chain of rusty locks
P	◇, <i>magical</i>
P	A chain, six links long, each link hung with a corroded bronze padlock. 1d4+1 locks bear a stylized face, frozen in a rusty grimace. The keys to these locks are lost to the ages.
P	When you <b><i>hold one of the face-adorned locks and</i></b> <b><i>look into its eyes</i></b>, you can hear the voice of the departed soul bound within: hateful, desperate, pleading to be set free.
P	You can master these locks by…
C	… convincing one of the shades to reveal how it was captured.
C	… convincing a shade to reveal what happens when a lock is opened.
C	… finding a way to open the locks.
H3	The Six Locks of Sajua
P	Disturbance: ◇◇◇◇◇◇◇
P	When you <b><i>smear the blood of the dying onto an</i></b> <b><i>open Lock of Sajua and then close the lock</i></b>, roll
P	+CON: <b>on a 10+</b>, their soul is bound in the lock;
P	<b>on a 7-9</b>, their soul is bound, but all mundane metal in your presence rusts or tarnishes, corrodes and weakens.
P	When you <b><i>extract a promise from a bound soul</i></b>
P	<b><i>and then open the lock that binds it</i></b>, the soul is compelled to fulfill the letter of its promise before it goes its own way. Tell the GM to treat it as a ghost (though not necessarily as a follower); the open lock serves as its tether, at least for now.
P	Each time you release a soul, mark 1 Disturbance and roll 1d6. If you roll less than your Disturbance, you hear the call of the Pale Hunter in the distance. Expect a visit soon.
P	16
