# The Sylvan Web · Book II, p. 521 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	521
H3	A patch of rainbow moss
P	<i>magical</i>
P	In the Great Wood, one can find a copse of many different types of tree, the light dim beneath their canopy and the ground knobbly with interwoven roots. At the center: a patch of thick, multi-hued moss.
P	To unlock the mysteries of this place, you must…
C	… lie down in the moss and let its tendrils fuse with your skin.
C	… let your consciousness drift into the forest itself, at the risk of losing yourself or drawing the ire of hostile spirits.
C	… spend weeks visiting the moss, setting your mind adrift, learning to perceive the world through the forest's senses.
H3	The Sylvan Web
P	When you <b><i>lie down in the rainbow moss and cast</i></b> <b><i>your mind into the Great Wood</i></b>, say what you are looking for and roll +WIS: <b>on a 10+</b>, pick 3; <b>on</b> <b>a 7-9</b>, pick 1.
B	You learn the location of your quarry
B	You get a sense of your quarry's recent activities, or the activity surrounding it
B	You discover something unexpected about the forest, or that which can be found within it (ask the GM what you learn)
B	You spend only an hour or so adrift (else, you spend all day)
P	Whatever you learn, it is limited by and filtered through the senses the forest.
P	28
