# The Tomb-bog's Mark · Book II, p. 511 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	511
H3	A grim peat mound
P	Not far from Marshedge, a ways into Ferrier's Fen, lies a peat mound where no birds nest and flowers will not bloom. Since the town's founding, the people of Marshedge have buried certain criminals here, alive.
P	Over the years, the land has birthed a spirit that hungers for the dying breaths of the condemned (<i>Book II</i>, page 85). It is young and eager, and can be set to work upon criminals, but only if you...
C	… find a way to communicate with it.
C	… convince it that you will use its mark only to condemn the guilty.
H3	The Tomb-bog's Mark
P	When you <b><i>use mud from the tomb-bog to mark</i></b> <b><i>someone with the sign of Aratis and pronounce</i></b> <b><i>them guilty of a crime</i></b>, you can place a geas upon them. Phrase it as one of the following:
B	You must never again ____.
B	Henceforth, you must always seek to ____ when you have the chance.
P	Should they <b><i>fail to follow the geas</i></b>, their life is forfeit and the tomb-bog spirit will track them down and smother them.
P	Should they <b><i>prove themselves innocent to the</i></b> <b><i>tomb-bog spirit</i></b>, your life is forfeit instead.
P	8
