# Thunderous Bellow · Book II, p. 510 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	510
H3	A half-buried plaque
P	◇◇, <i>cumbersome</i>, <i>magical</i>
P	A bronze plate poking out of the soil, somewhere in the Flats or near the Dread River. It's dented, a bit warped, with Maker-runes and esoteric diagrams etched into the surface. How the heck did it end up here?
P	The plate contains the workings of a spell, which you can learn but…
C	… you must first dig up & clean the plate.
C	… you must decipher the Maker-runes.
C	… it'll take a few weeks of study.
C	… you risk harm to your voice, your hearing, and/or your neighbors as you practice.
H3	Thunderous Bellow
P	When you <b><i>channel the storm primeval and utter</i></b> <b><i>a thunderous bellow</i></b>, take 1d6 damage (ignores armor) and roll +CON: <b>on a 10+</b>, everyone nearby (except you) must choose 2; <b>on a 7-9</b>, everyone nearby (except you) must choose 1.
B	Drop what they're carrying and cover their ears
B	Be deafened and disoriented for a few moments
B	Stagger a few steps away from you 6
