# Truth Seeds · Book II, p. 508 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	508
H3	A folktale folktale
P	There's this old tale, about an old herb tender from Marshedge that tricks a fen-troll into eating an enchanted seedpod. She promises to go get the troll more food if he promises to then let her go. Of course, the troll breaks his word and tries to eat her, but the seedpod bursts into a mass of gwir-nettles when he does.
P	You can learn the secret of the enchanted seedpods, but need one of the following:
C	A Marshedge herbalist, steeped in lore, to teach you the ritual
C	The spirit of a gwir-nettle, friendly or bound, to reveal the secrets of its birth
H3	Truth Seeds
P	When you <b><i>soak a pair of gwir-nettle seedpods in</i></b> <b><i>your own blood, whisper secrets over them, and</i></b> <b><i>say the words of power</i></b>, they become truth seeds
P	(<i>magical)</i>.
P	When you and another <b><i>each eat a truth seed and</i></b> <b><i>make promises to each other</i></b>, the seeds stay in your guts and ensure that the promises are kept.
P	When you <b><i>break your promise</i></b>, the truth seed in your gut sprouts violently into a full-grown gwir-nettle, dealing 1d10+3 damage with advantage (<i>messy</i>, ignores armor) and now you've got a gwir-nettle growing out of you.
P	If the <b><i>other party breaks their promise</i></b>, they suffer the same fate.
P	2
