# Ward of Still Waters · Book II, p. 514 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	514
H3	A clear, natural pool
P	High in the hills, a stream of snowmelt fills a deep pool in the rocks before flowing on. At the bottom of the pool is a large deposit of lodestone. Rusted old blades (many sized for giants) can be seen clinging to the lodestone.
P	There is magic here; to unlock its secrets, either...
C	… spend a week or so experimenting at the pool, then roll +INT: <b>on a 10+</b>, you figure it out; <b>on a 7-9</b>, no luck; <b>on a 6-</b>, you are interrupted by danger; or...
C	… get a firsthand account of the pool's powers in use.
P	front 14 back Starts at 13
H3	Ward of Still Waters
P	Strain: ◇◇◇◇◇◇◇
P	When you <b><i>cut yourself with iron or steel and toss</i></b> <b><i>the blooded metal into the pool</i></b>, you form a bond with the waters. So long as you carry a vial of the pool's water on your person, you are protected by the ward of still waters.
P	When you are so protected and <b><i>subject to magic</i></b> <b><i>that attempts to sense or affect your thoughts,</i></b> <b><i>actions, or emotions</i></b>, the magic targets the still waters of the pool instead—possibly befuddling the magic's source.
P	Each time the ward of still waters protects you, mark 1 Strain and then roll 1d6. If your roll is less than your current Strain, the water you carry loses its potency. When you <b><i>return to the pool</i></b> <b><i>and renew your bond</i></b>, clear all Strain.
