# initiates-of-danu · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: e324d4b042e66148254d7dbf338a3bc2c979ab1daae5cf28e7ec51cc8238236e
# title: Eingeweihte der Danu
# nav_label: Eingeweihte der Danu
# description: Das Beiblatt des Gesegneten mit dem Hintergrund Eingeweihte: die Mit-Eingeweihten der Danu als Gefolgsleute, samt Riten, Preisen und Loyalität.
PAGE	145
HR
P	Eingeweihte der Danu Gesegneter, wenn du den Hintergrund Eingeweihte gewählt hast, hast du 2 oder 3 der Folgenden als deine Mit-Eingeweihten gewählt. Markiere die Gewählten und behandle sie als Gefolgsleute. Streiche die Übrigen.
HR
ICON	icons/default.svg
H3	Enfys, im Noviziat
P	<i>Vogelkundig</i>, <i>unschuldig</i>, <i>magisch</i>, <i>gut unterrichtet</i>
P	<b>HP</b> 6; <b>Rüstung</b> 0 <b>HP</b>
P	<b>Schaden</b> Bronzemesser d4 (<i>Hand</i>)
P	<b>Instinkt</b> sich ablenken lassen
P	• Mit Vögeln sprechen Max. 6
P	• Eine schwierige Frage stellen
P	• Fortwandern
P	<b>Preis</b> Wissen, geheime Lehren; <b>Loyalität</b> ◇◇◇
P	Wähle je Zeile 1: er sie dey
C	noch ein Kind an der Schwelle jung erwachsen
C	sorgsam erwählt von Danu gezeichnet verwaist
C	unbekümmert neugierig launisch verschlossen
HR
ICON	icons/default.svg
H3	Afon, ebenfalls eingeweiht
P	<i>Fae-kundig</i>, <i>verschlagen, magisch, selbstgenügsam, verstohlen</i>
P	<b>HP</b> 8; <b>Rüstung</b> 2 (0 gegen Eisen) <b>HP</b> <b>Schaden</b> Bronzebeil d6 (<i>Hand</i>)
P	<b>Instinkt</b> impulsiv handeln
P	• Einen kleinen Blendzauber weben Max. 8
P	• Unerwartet auftauchen oder verschwinden
P	• Eine unbequeme Wahrheit aussprechen
P	<b>Preis</b> Staunen, Freude; <b>Loyalität</b> ◇◇◇
P	Wähle je Zeile 1: er sie dey
C	kommt und geht im Wald eine Hütte nahe dem Dorf
C	unnahbar derb und anzüglich beunruhigend Riten von … Ekstase Rausch Mondlicht
HR
ICON	icons/default.svg
H3	Gwendyl, dein Mentor
P	<i>Kräuterkundig</i>, <i>klatschsüchtig</i>, <i>unermüdlich</i>, <i>heilkundig</i>, <i>magisch</i>
P	<b>HP</b> 6; <b>Rüstung</b> 0 <b>HP</b>
P	<b>Schaden</b> Eisenmesser d6 (<i>Hand</i>)
P	<b>Instinkt</b> schnell beleidigt sein
P	• Kranke, Verletzte und Max. 6 Gebärende versorgen
P	• Einen Talisman für Fruchtbarkeit oder Glück weben
P	• Auf einen Fehler in einer Person oder einem Plan hinweisen
P	<b>Preis</b> Rücksicht, Zuneigung; <b>Loyalität</b> ◇◇◇
P	Wähle je Zeile 1: er sie dey
C	eine große Familie hat dich aufgenommen lebt allein
C	unverblümt fordernd geplagt duldet keine Narren Riten von … Erde und Boden Trauer Fürbitte
ICON	icons/default.svg
H3	Olwin, deine gesalbte Liebe
P	<i>Schicksalskundig</i>, <i>schön</i>, <i>leidenschaftlich</i>, <i>magisch</i>
P	<b>HP</b> 6; <b>Rüstung</b> 1 (Schild) <b>HP</b> <b>Schaden</b> Eisenspeer d6 (<i>nah</i>, <i>Wurfwaffe</i>)
P	<b>Instinkt</b> jede Zurückhaltung vermissen lassen
P	• Eine Weissagung vollziehen Max. 6
P	• Eine (düstere) Prophezeiung aussprechen
P	• Aus etwas eine große Sache machen
P	<b>Preis</b> Zärtlichkeit, Achtung; <b>Loyalität</b> ◇◇◇
P	Wähle je Zeile 1: er sie dey
C	verlobt wahre Liebe zeremoniell kompliziert
C	widerborstig dramatisch leidenschaftlich gequält Riten von … Blut Feuer heiliger Vereinigung
ICON	icons/default.svg
H3	Seren die Älteste
P	<i>Außergewöhnlich, geschichtenkundig, scharfsichtig, gebrechlich, magisch</i>
P	<b>HP</b> 3; <b>Rüstung</b> 0 <b>HP</b> <b>Schaden</b> Wanderstab d4 (<i>nah</i>)
P	<b>Instinkt</b> an der Tradition festhalten
P	• Die Geister befragen Max. 3 oder sie bannen
P	• Eine Geschichte spinnen, um etwas klarzumachen
P	• Scham und Schuld als Druckmittel nutzen
P	<b>Preis</b> Ehrerbietung, bewiesene Vernunft; <b>Loyalität</b> ◇◇◇
P	Wähle je Zeile 1: er sie dey
C	abgetan bemitleidet gefürchtet verehrt
C	zugeknöpft freundlich, aber bestimmt herrisch Riten von … Eisen geheimer Namensgebung Winter
P	<b>GEFOLGSLEUTEN BEFEHLE ERTEILEN</b>
P	Wenn du <b><i>ihnen aufträgst, einen Spielzug zu machen, und sie</i></b> <b><i>es tun,</i></b> würfle +1 statt +WERT, falls eines ihrer Merkmale zutrifft (oder +2, wenn sie zudem <i>außergewöhnlich</i> sind). Trifft kein Merkmal zu, würfle +0. Stünde eines ihrer Merkmale im Weg, würfle mit Nachteil.
P	Wenn sie <b><i>ohne Befehle sind</i></b> oder <b><i>aus</i></b> <b><i>eigenem Antrieb handeln</i></b>, sagt die SL, was sie tun und wie es ausgeht.
HR
P	<b>DIE BINDUNG STÄRKEN</b>
P	Wenn du <b><i>ihren Preis zahlst</i></b> und das nicht erst kürzlich getan hast, erhalten sie +1 Loyalität (max. 3).
P	Gib ihre Loyalität 1-zu-1 aus, damit sie:
B	Ihre Furcht überwinden und tun, was du sagst
B	Widerstehen, nach ihrem Instinkt/ihren Merkmalen/Eigenheiten zu handeln
B	Etwas tun, das sie nicht tun wollen (solange es nicht abscheulich oder selbstmörderisch ist)
