# inserts · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: c08ccb1cbebe1b7f4a3675fd611c2df0e4d8235bca67263d9969cee039af605d
# title: Beiblätter
# nav_label: Beiblätter
# description: Die Beiblätter der Spielbücher: Inventar, Tiergefährte, Trupp, Eingeweihte der Danu, Anrufungen sowie die Beiblätter, die aus An der Schwelle des Todes hervorgehen.
PAGE	141
P	Dein SC hat mindestens ein Beiblatt: einen beidseitig bedruckten halbseitigen Bogen, den du in dein gefaltetes Spielbuch einlegen kannst. Die PDFs liegen dem Playkit auf der Website von Lampblack
P	& Brimstone bei, doch die Beiblätter sind zum Nachschlagen auch in diesem Kapitel enthalten.
P	Jeder SC erhält den <b>Inventar</b>-Bogen (Seite 142). Wie dieses Beiblatt benutzt wird, erklärt <b>Ausrüstung und Besitztümer</b> auf Seite 86. Die Rückseite des Beiblatts hängt von deinem Spielbuch und deinen Entscheidungen ab.
P	Wenn du …
E	<b>der Waldläufer mit dem Spielzug Tiergefährte</b> bist, bekommst du natürlich das Beiblatt <b>Tier</b><b>gefährte</b> (Seite 143);
E	<b>der Marschall</b> bist, bekommst du das Beiblatt <b>Trupp</b> (Seite 144);
E	<b>der Gesegnete mit dem Hintergrund Eingeweihte</b> bist, bekommst du das Beiblatt <b>Eingeweihte der</b> <b>Danu</b> (Seite 145);
E	<b>der Lichtträger</b> bist, bekommst du das Beiblatt <b>Anrufungen</b> (Seite 146);
P	Andernfalls bekommst du ein <b>allgemeines</b> Beiblatt (Seite 147) mit Platz zum Festhalten von Gefolgsleuten und einer Übersicht über deine Agenda, Prinzipien und Regeln als Spieler.
P	Das PDF im Playkit ist so angelegt, dass der Inventar-Bogen auf einer Seite gedruckt wird und der spielbuchspezifische Bogen (oder die allgemeinen Gefolgsleute-/Agenda-Bögen) auf der Rückseite. In diesem Kapitel ist jeder Bogen nur einmal enthalten.
H3	Spielbücher & Beiblätter
P	Es gibt außerdem drei Beiblätter, zu denen man durch den Spielzug An der Schwelle des Todes und schlechte Entscheidungen kommen kann: den <b>Geist</b> (Seite 148), den <b>Wiedergänger</b> (Seite 150) und den <b>Hörigen</b> (Seite 152). Diese Beiblätter werden normalerweise beidseitig auf ein halbes Blatt gedruckt. Du nimmst eines von ihnen erst, wenn es relevant wird.
P	Zusätzlich zu den Beiblättern in diesem Kapitel bekommst du vielleicht auch ein Beiblatt, das ein <b>großes Arkanum</b> (Seite 60) darstellt.
P	Der Sucher beginnt das Spiel mit einem großen Arkanum, wie sein Hintergrund es angibt; und wer das Spielbuch des Haudegens mit dem Hintergrund „Sturmgezeichnet“ wählt, beginnt das Spiel mit dem großen Arkanum Die Sturmmale.
P	Du findest sie in Anhang D: Große
P	Arkana (<i>Buch II</i>, Seite 540).
