# playbooks-inserts · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 978f0e3cac18afd26b2610f48f3e0a078a9616c3fc70da8d9d2402fc35979bef
# title: Spielbücher und Beiblätter
# nav_label: Spielbücher und Beiblätter
# description: Das Kapitel zu den neun Spielbüchern von Stonetop und ihren Beiblättern: wie du dein Spielbuch wählst und was jedes enthält.
PAGE	104
P	<b>Dieses Kapitel richtet sich an die Spieler, aber</b> <b>auch die SL sollte es lesen!</b>
P	Die Inhalte dieses Kapitels gibt es als
P	PDFs in einem herunterladbaren Playkit auf www.lampblackandbrimstone.com. Hier sind sie zum Nachschlagen enthalten, nicht zum Gebrauch während des Spiels.
H2	Spielbücher
P	Wenn du einen SC für <i>Stonetop</i> erschaffst, wählst du als Erstes dein Spielbuch.
P	Jedes Spielbuch enthält eine Reihe von Entscheidungen, Anregungen und Optionen, die auf einen bestimmten Charakter-Archetyp hinweisen und zugleich Raum lassen, deinen Charakter einzigartig zu machen.
P	Dein Spielbuch dient zugleich als Charakterbogen. Du hältst darauf die Werte, Schwächungen, aktuellen HP und XP, Spielzüge und so weiter deines SC fest. Die Spielbücher sind dafür gedacht, beidseitig gedruckt und in der Mitte gefaltet zu werden, sodass sie ein kleines Heft ergeben.
P	Die neun Standard-Spielbücher sind:
B	<b>Der Gesegnete</b> (Seite 105)
B	<b>Der Fuchs</b> (Seite 109)
B	<b>Der Haudegen</b> (Seite 113)
B	<b>Der Richter</b> (Seite 117)
B	<b>Der Lichtträger</b> (Seite 121)
B	<b>Der Marschall</b> (Seite 125)
B	<b>Der Waldläufer</b> (Seite 129)
B	<b>Der Sucher</b> (Seite 133)
B	<b>Der Möchtegern-Held</b> (Seite 137)
PB
P	Eine Erklärung der einzelnen Bestandteile eines SC-Spielbuchs findest du unter <b>Dein Charakter</b> (Seite 50) im vorigen Kapitel.
P	Jeder SC hat außerdem mindestens ein <b>Beiblatt</b>. Die Standard-Beiblätter sind ebenfalls in diesem Kapitel enthalten, beginnend auf Seite 141.
H2	Auch die SL hat ein Spielbuch
P	Wenn du das Playkit von lampblackandbrimstone.com herunterlädst, findest du dort auch ein PDF des SL-Spielbuchs: eine Sammlung von Regeln, Karten und Werkzeugen, die die SL während des Spiels und der Vorbereitung schnell nachschlagen kann. Es ist eine Zusammenfassung von Inhalten aus diesem Buch und <i>Buch II</i> und daher nicht in diesem Kapitel enthalten.
P	Wenn du Fragen zu bestimmten Spielzügen oder anderen Teilen eines Spielbuchs hast (wie sie funktionieren, was genau __ bedeutet, was als „Kreatur der Dunkelheit“ gilt usw.), besprich sie mit der SL und den anderen Spielern. Bedenkt, was schon festgelegt oder angedeutet wurde, und klärt es als Gruppe.
P	Wundere dich nicht, wenn die SL solche Fragen an dich zurückgibt. „Nun, was macht denn für <i>dich</i> eine Kreatur der Dunkelheit aus?“
P	Das ist keine Falle und kein Trick! Es ist eine Einladung an dich, <b>die Welt mitzugestalten</b>. Antworte mit dem, was dir offensichtlich oder interessant erscheint. Sei nur darauf gefasst, dass diese Antwort bleibende Folgen dafür hat, wie der Spielzug in eurem Spiel funktioniert!
