# minor-aalz-galts-sudden-sinkhole · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: dddc9f4550d97dfde91eebf12358fa1c8a3b03733d52254767714604a256eeb2
# title: Aalz Galts Plötzlicher Erdfall
# nav_label: Aalz Galts Plötzlicher Erdfall
# description: Aalz Galts Plötzlicher Erdfall (Aalz Galt's Sudden Sinkhole), ein kleines Arkanum aus Stonetop: die Vision eines steinformenden Riesen, deren Zauber unter Erde und Stein einen Hohlraum aushöhlt.
PAGE	509
H3	Der Schlafsaal eines Riesen
P	<i>magisch</i>
P	In einer Ruine der Steinherren (Stone Lords) steht eine alte Behausung, die den psychischen Abdruck ihres Bewohners trägt, eines Steinformers von beachtlichem Können.
P	Wenn du <b><i>den Schlafsaal betrittst</i></b>, überwältigt dich eine Vision, wie dieser Schüler seinen ersten Zauber erfindet. Du kannst diesen Zauber lernen, aber …
C	… du musst eine gewisse Begabung für Magie haben.
C	… es kostet Wochen wiederholter Einwirkung und Studiums.
C	… du riskierst bleibende Schäden an Körper und Gesundheit.
H3	Aalz Galts Plötzlicher Erdfall
P	Wenn du <b><i>einen grollenden Ton singst und deinen</i></b> <b><i>Willen auf einen Punkt aus Erde oder Stein richtest</i></b>, kreuze eine Schwächung an und würfle +INT:
P	<b>Bei 10+</b> bleibt die Erde oder der Stein, auf den du dich konzentrierst, unversehrt, doch die Erde oder der Stein darunter zerbröckelt, löst sich auf und fließt davon, sodass ein leerer Hohlraum entsteht, etwa so breit, wie deine Arme umfassen können, und etwa so tief, wie du groß bist. Die Oberfläche wirkt stabil, neigt aber dazu, unter Belastung zu reißen oder einzubrechen.
P	<b>Bei 7-9</b> wirkt das Lied wie oben, entzieht deinem Körper aber noch mehr Energie. Kreuze eine weitere Schwächung an und erleide 2d4 Schaden (ignoriert Rüstung).
P	4
