# minor-aetherium-spear · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 9d296a21c043dc11a04b767f26642e6653376d601794f8e5b0ae559f16370d3b
# title: Ätheriumspeer
# nav_label: Ätheriumspeer
# description: Ätheriumspeer (Aetherium Spear), ein kleines Arkanum aus Stonetop: eine korrodierte Speerspitze der Erbauer, die, wiederhergestellt und mit Blitz aufgeladen, Blitze auf deine Feinde schleudert.
PAGE	531
H3	Eine korrodierte Speerspitze
P	◇ <b>,</b> <i>magisch</i>
P	In einem Gewölbe, einer Höhle oder einer Ruine der Erbauer verborgen liegt ein Stück Kupfer, stark korrodiert und mit Grünspanbrocken überzogen. Wenn du die Augen zusammenkneifst, erkennst du vage die Form einer Speerspitze.
P	Oh, und sind das schwache Spuren von Runen?
P	Um die Geheimnisse dieser uralten Waffe zu entschlüsseln, musst du …
C	… die Korrosion mit den richtigen Chemikalien sorgfältig entfernen, ohne dabei die Runen zu zerstören.
C	… die Runen entziffern und herausfinden, wie sie aufgeladen werden sollen.
C	… die wiederhergestellte Speerspitze mit einem Blitz durchdringen.
C	… die Speerspitze auf einen Schaft aus Birkenholz setzen.
C	… die Speerspitze in deinem eigenen Blut tränken, um ihre Macht für dich zu beanspruchen.
H3	Ätheriumspeer
P	◇, <i>nah</i>, <i>Wurfwaffe, magisch,</i> +1 Schaden
P	Wenn du <b><i>mit dem Ätheriumspeer Klingen kreuzt und</i></b> <b><i>eine 7+ erzielst</i></b>, kannst du eine Schwächung ankreuzen, um deinen Feind mit einem Blitz zu treffen, der +1d6 Schaden verursacht (<i>wuchtig</i>, <i>laut</i>).
P	Wenn du den Ätheriumspeer auf deine Feinde richtest und einen donnernden Kriegsschrei ausstößt, kreuze eine Schwächung an und entfessle einen Blitzschlag (<i>fern</i>, <i>Fläche</i>, <i>wuchtig</i>, <i>laut</i>, <i>gefährlich</i>), wobei du für Salve +STR statt +DEX würfelst (und du kannst nicht wählen, Munition zu verbrauchen). <b>Bei 6-</b> wird der Speerspitze zusätzlich zu allem, was die SL sonst sagt, die Macht entzogen, und der Birkenholzschaft verbrennt zu Asche – lösche die letzten 3 Kästchen auf der Vorderseite dieser Karte.
