# minor-baleful-utterance · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 8742d561268dea99e5ba8be2dc82641c2cfd72ffb8fff8d40c4f2a95fbf4f62e
# title: Unheilvolles Wort
# nav_label: Unheilvolles Wort
# description: Unheilvolles Wort (Baleful Utterance), ein kleines Arkanum aus Stonetop: ein schwebendes, flüsterndes Schreckenswort, das jeden Gegenstand, den deine Stimme erreicht, zerspringen lässt.
PAGE	530
H3	Ein flüsterndes … Wort?
P	<i>magisch</i><b>,</b> <i>unbeweglich</i><b>,</b> <i>furchterregend</i>
P	Vor der Sonne verborgen, in einem Kreis aus Runen, schwebt ein … Wort? … in der Luft. Es windet und schlängelt sich, sehnt sich nach Freiheit und flüstert Versprechen von Macht. Doch die Runen darum erfüllen dich mit Grauen.
P	Um seine Geheimnisse zu entschlüsseln, musst du …
C	… deine Furcht meistern und dich zwingen, es zu ergreifen und in dich aufzunehmen.
C	… festhalten, während es Leib und Seele erschüttert und dich aufzulösen versucht (2d6 Schaden, <i>blutig</i>, ignoriert Rüstung).
C	… wochenlang in Abgeschiedenheit verbringen und dich mit dem Schreckenswort vertraut machen, das nun in deinem Kopf lebt.
C	… riskieren, deine Umgebung zu verderben und deinen Besitz oder alles andere in der Nähe zu zerstören, während du übst, das Schreckenswort laut auszusprechen.
H3	Unheilvolles Wort
P	Wenn du <b><i>das Schreckenswort sprichst</i></b>, nenne einen Gegenstand, den deine Stimme erreichen kann – er zerspringt, zerfasert oder wird auf andere Weise vernichtet.
P	Würfle dann +CON: <b>bei 10+</b> wähle 1; <b>bei 7-9</b> wähle 1 und die SL wählt eine weitere; <b>bei 6-</b> wähle 1, zusätzlich zu allem, was die SL sonst sagt; <b>in jedem Fall</b> wähle 1 weitere, wenn der zerstörte Gegenstand <i>unzerstörbar</i> war.
B	Deine Kehle brennt und deine Zunge wirft Blasen; kreuze <i>niedergeschlagen</i> an, und du kannst ein paar Tage lang kaum flüstern.
B	Deine Ohren und die aller, die das Wort gehört haben, beginnen zu bluten (1d4 Schaden, ignoriert Rüstung, vorübergehend taub).
B	1d4 weitere Gegenstände nach Wahl der SL zerspringen/zerfasern/werden ebenfalls vernichtet.
B	Dieser Ort wird von den Dingen in der Tiefe (Things Below) verdorben; ist er bereits verdorben, wird es schlimmer; andernfalls ist er nun ein gemiedener Ort, ein Ort der Unruhe und des Unbehagens.
