# minor-bronze-protector · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 6040d04858ebda494bdc51cbdd45697a72beb5652974cf71cc71c9a495241d1c
# title: Bronzener Beschützer
# nav_label: Bronzener Beschützer
# description: Bronzener Beschützer (Bronze Protector), ein kleines Arkanum aus Stonetop: ein zerbrochener Bronzemann mit Ofenbrust, den der Herdgeist deines Heims zu einem wachsamen Wächter beseelt.
PAGE	533
H3	Ein Mann aus Metall
P	<i>magisch</i>, <i>zerbrechlich</i>
P	Eine Bronzestatue, aber nicht wirklich eine Statue, eher Rüstungsteile, geschickt um ein Skelett aus ineinandergreifenden Rohren gefügt. Und die „Brust“ ist weniger ein Harnisch als ein kleiner, bauchiger Ofen. Unter der Patina des Dings sind kunstvolle Runen kaum zu erkennen.
P	Es ist verbeult, gesprungen und in Stücke gerissen, doch bei gründlicher Suche finden sich alle Teile.
P	Das ist eindeutig keine bloße Statue, doch um ihre Geheimnisse zu entschlüsseln, musst du …
C	… den Körper reparieren, was einen <i>außergewöhnlichen</i> Schmied eine ganze Jahreszeit kostet (Wert 3).
C	… ein paar Wochen damit verbringen, die Runen auszubessern, und riskieren, dass ein Fehler sie wirkungslos oder instabil macht.
C	… den Geist deines eigenen Herdes überzeugen, den Ofen zu bewohnen und das Konstrukt zu beseelen.
H3	Bronzener Beschützer
P	Bereitschaft: ◇◇◇◇
P	Solange <b><i>Feuer im ofenartigen Brustkorb brennt</i></b>, beseelt der Herdgeist das Konstrukt. Behandle es als Gefolgsmann.
ICON	icons/construct.svg
H3	Bronzener Beschützer
P	<i>Konstrukt, Geist, robust, wachsam,</i> <i>herrisch, stumm, leichtgläubig</i>
P	<b>HP</b> 13; <b>Rüstung</b> 3 (Metall)
P	<b>Schaden</b> Faustschläge 1d8 (<i>Hand</i>)
P	<b>Besondere Eigenschaften</b> feuerfest; hält +1 Bereitschaft bei 7+ auf Verteidigen; braucht eine Schmiede und Werkzeug, um HP zurückzugewinnen <b>Instinkt</b> übereifrig über dich zu wachen
P	• Bedrohlich aufragen und Rauch ausstoßen
P	• Brände entfachen, Kollateralschaden anrichten
P	• Den Brennstoff ausgehen lassen
P	<b>Preis</b> überschwängliche Dankbarkeit (Loyalität: ◇◇◇ )
P	<b>HP</b>
P	Beginnt bei 13
