# minor-call-of-the-hunt · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: ec49800ea810eb7cfe739534bcfa67d520f9b0fbbf0201ffee5977fc3661fa87
# title: Ruf der Jagd
# nav_label: Ruf der Jagd
# description: Ruf der Jagd (Call of the Hunt), ein kleines Arkanum aus Stonetop: ein Wolfsfell, in dem der Geist der Jagd selbst wohnt und mit dem du ein Rudel auf deine Beute hetzt.
PAGE	523
H3	Ein Wolfsfell
P	<i>magisch</i>, <i>warm</i>
P	Es muss ein majestätisches Tier gewesen sein, fein präpariert, mit blassen Steinen als Augen und einer Spange, um es wie einen Kapuzenumhang zu tragen. Doch wie sehr du auch schrubbst, die roten Flecken gehen nie von den Zähnen ab.
P	Das Fell beherbergt einen mächtigen Geist, nicht nur den eines Wolfs, sondern den der Jagd selbst. Um seine Geheimnisse zu entschlüsseln, musst du …
C	… bei Mondschein allein ein Tier jagen und dabei das Fell tragen.
C	… ihm mit bloßen Händen oder Zähnen die Leber herausreißen und sie roh essen.
H3	Ruf der Jagd
P	Wenn du <b><i>den aufgehenden Mond anheulst, das Gesicht mit</i></b> <b><i>Blut beschmiert und nur mit dem Fell bekleidet</i></b>, nimmst du das Wesen eines Wolfs an und rufst ein Rudel an deine Seite.
P	Nenne deine Beute und würfle …
E	+1, wenn du ihre Witterung hast;
E	+1, wenn sie allein ist, aber -1, wenn nicht; und
E	-1, wenn sie ein Wolfsrudel nicht fürchten würde.
P	<b>Bei 7+</b> stellst du deine Beute und verursachst 2d6+4 Schaden (<i>blutig</i>), bevor sich das Rudel zerstreut und du dein Wolfs-Ich abstreifst; <b>bei 10+</b> wähle außerdem 1;
P	<b>bei 7-9</b> wähle außerdem 2.
B	Dein Rudel zerfleischt einen oder mehrere Unschuldige
B	Du erleidest selbst 2d6+4 <i>blutigen</i> Schaden
B	Dein Instinkt wird bis zu deinem nächsten Stufenaufstieg zu „wie ein blutdürstiger Wolf zu handeln“.
P	<b>Bei 6-</b> entkommt dir deine Beute, und du musst trotzdem 2 aus der Liste oben wählen.
P	32
