# minor-chimeric-transmogrification · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: f6c0e221926acc7e9308ae5981a57388e7a965164b800d2e52ef536405c577f2
# title: Chimärische Umgestaltung
# nav_label: Chimärische Umgestaltung
# description: Chimärische Umgestaltung (Chimeric Transmogrification), ein kleines Arkanum aus Stonetop: ein Pergament der Grünen Herren mit einem Zauber, der einem Wesen die Merkmale eines anderen Tieres verleiht.
PAGE	521
H3	Ein gespanntes Pergament
P	◇◇, <i>zerbrechlich</i>
P	Straff auf einen Holzrahmen gespannt, ist dieses alte Pergament voller kunstvoller, verschlungener Glyphen der Grünen Herren (Green Lords). Zeichnungen zeigen Kreaturen, die sich verwandeln und Merkmale anderer Tiere annehmen. Es scheint die Grundlage für eine Art Zauber zu sein.
P	Um seine Geheimnisse zu entschlüsseln und den Zauber zu lernen, musst du …
C	… die Glyphen der Grünen Herren entziffern.
C	… ein paar Wochen damit verbringen, sie zu studieren und über sie nachzusinnen.
C	… an einem Tier von mindestens <i>kleiner</i> Größe experimentieren, etwa einer Ziege, einem Schwein oder einem Hund. Du riskierst, das Tier zu töten, zu verkrüppeln oder grauenhaft zu verunstalten und es womöglich in den Wahnsinn zu treiben.
H3	Chimärische Umgestaltung
P	Wenn du <b><i>ein Stück eines Tieres (Fell, Knochen</i></b> <b><i>usw.) vorhältst und die Worte der chimärischen Umgestaltung über ein anderes Wesen sprichst</i></b>, würfle +INT: <b>bei 10+</b> wirkt der Zauber; <b>bei 7-9</b> wirkt der Zauber, aber nur, wenn du eine Schwächung ankreuzt.
P	Wenn <b><i>der Zauber wirkt</i></b>, würfle 1d10+CON. Wenn dein Wurf <b>die aktuellen HP des Ziels erreicht oder übersteigt</b>, nenne ein Merkmal des Tieres, das du hältst – die Gestalt des Ziels verdreht und verbiegt sich, und es erhält dieses Merkmal, bis es ein paar Stunden schläft. Die Erfahrung ist verwirrend und beängstigend; die meisten Tiere und Menschen geraten in Panik. Würfelst du <b>weniger als die aktuellen</b> <b>HP des Ziels</b>, verdreht und verbiegt sich seine Gestalt ein paar Sekunden lang beunruhigend, doch es wehrt die Verwandlung ab. <b>So oder so</b> ist das Stück des Tieres, das du hältst, verloren und schrumpft zu nichts zusammen.
