# minor-dancing-wind-spirit · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: f09662df8813cc8c620d5c4539c7c29978cbb4f49fd5bb8fb967be31eb57b511
# title: Tanzender Windgeist
# nav_label: Tanzender Windgeist
# description: Tanzender Windgeist (Dancing Wind Spirit), ein kleines Arkanum aus Stonetop: eine gesprungene Flöte aus Rotholz, die einen verspielten Zephyrgeist als Gefolgsmann herbeiruft.
PAGE	523
H3	Eine gesprungene Flöte
P	◇, <i>roh</i>, <i>magisch</i>
P	Eine lange, dicke Flöte aus Rotholz geschnitzt, mit einem dünnen, aber sichtbaren Riss an der Unterseite. Sie fängt leicht den Wind ein und gibt einen pfeifenden Ton von sich.
P	Wer ein paar Töne auf der Flöte spielt, merkt, dass hier Magie im Spiel ist.
P	Wenn du <b><i>ein paar Tage übst und</i></b> <b><i>die Flöte spielst, wo der Wind dich hören kann</i></b>, würfle
P	+CHA: <b>bei 10+</b> kreuze 1 Kreis an; <b>bei 7-9</b> kreuze 1 Kreis an, aber du rufst einen gereizten Zephyrgeist herbei;
P	<b>bei 6-</b> machst du keine Fortschritte, rufst aber einen gereizten Zephyr herbei.
MARK	3
P	Wenn du <b><i>alle drei Kreise angekreuzt hast</i></b>, entschlüsselst du die Geheimnisse der Flöte.
H3	Tanzender Windgeist
P	Wenn du <b><i>eine Melodie spielst, um den Wind selbst</i></b> <b><i>tanzen zu lassen</i></b>, manifestiert sich der an die Flöte gebundene Andalau (Zephyrgeist). Behandle ihn als Gefolgsmann; er hält
P	zu Beginn 1 Loyalität. Wenn du <b><i>den Geist entlässt,</i></b> <b><i>während er keine Loyalität hält</i></b>, spaltet sich die Flöte und zerfällt; der Andalau ist frei.
ICON	icons/spirit.svg
H3	Der Andalau der Flöte
P	<i>Geist, winzig, verstohlen, schelmisch</i>
P	<b>HP</b> 8; <b>Rüstung</b> 0
P	<b>Schaden</b> keiner
P	<b>Instinkt</b> zu spielen und herumzutollen
P	• Sich als flatternder Windstoß manifestieren (nur durch Salz verwundbar)
P	• Eine geflüsterte Nachricht überbringen
P	• Dinge umherwirbeln (Staub, Blätter usw.)
P	• Jemanden ärgern oder erschrecken
P	<b>Preis</b> Unterhaltung (Loyalität ◇◇◇ )
P	<b>HP</b>
P	Beginnt bei 8
