# minor-darkwalker-cloak · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 8ac78e1f14b557df9963a575256b7d19a6ea1144456c83edcbac938390b56a57
# title: Dunkelwandler-Umhang
# nav_label: Dunkelwandler-Umhang
# description: Dunkelwandler-Umhang (Darkwalker Cloak), ein kleines Arkanum aus Stonetop: das zerlumpte Fell eines schwarzen Tieres, das dich, mit deinem Blut getränkt, bei Verletzung in eine Schattenwolke verwandelt.
PAGE	528
H3	Ein zerlumpter Fellumhang
P	◇ <b>,</b> <i>warm</i><b>,</b> <i>magisch</i>
P	Das Fell eines unbekannten, schwarzpelzigen Tieres. Seine Borsten sind steif, und die Luft in seiner Nähe ist stets kühl.
P	Wenn du <b><i>den Umhang anlegst</i></b>, erträgst du selbst bitterste Kälte und kannst in tiefstem Schatten sehen, doch helles Licht schmerzt in deinen Augen, und die Wärme selbst eines Lagerfeuers ist kaum auszuhalten.
P	In diesem zerlumpten Fell steckt sicher mehr. Um seine Geheimnisse zu entschlüsseln, musst du …
C	… es sieben Tage und sieben Nächte ununterbrochen tragen.
C	… in einer mondlosen Nacht ein warmblütiges Tier jagen und sein Blut auf das Fell schmieren.
C	… eine schwere Wunde erleiden (oder dir selbst zufügen), während du das Fell trägst, und es mit deinem eigenen frischen Blut tränken.
H3	Dunkelwandler-Umhang
P	Ladungen ◇◇◇◇
P	Wenn du <b><i>dir die Adern öffnest und das</i></b> <b><i>Fell mit deinem eigenen frischen Blut tränkst,</i></b> verliere 1d8 HP und kreuze eine Schwächung an. Hält der Umhang keine Ladungen, erhält er 1d4 Ladungen. Die Narben der Wunde sind leuchtend weiß und verblassen nie.
P	Wenn du <b><i>einen Schlag oder eine körperliche Verletzung erleidest, während du</i></b> <b><i>den Dunkelwandler-Umhang trägst</i></b>, verliert er 1 Ladung und du verwandelst dich in eine Schattenwolke. Du erleidest letztlich keinen Schaden und kannst ein paar Sekunden umherhuschen und fliegen, bevor du wieder Gestalt annimmst. Alles, was du in dieser Schattengestalt berührst, wird von Raureif überzogen. Diese Wirkung wird nicht ausgelöst, wenn das Fell keine Ladungen hat.
P	Wenn <b><i>direktes Sonnenlicht oder heiliges Licht den</i></b> <b><i>Dunkelwandler-Umhang berührt,</i></b> oder <b><i>jemand anderes als du ihn anlegt</i></b>, verliert er alle Ladungen.
