# minor-fear-of-the-flame · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: e0036e18eab23510943f7e73c7b546369103b85f2ec11ba048a03f9b327a176e
# title: Furcht vor der Flamme
# nav_label: Furcht vor der Flamme
# description: Furcht vor der Flamme (Fear of the Flame), ein kleines Arkanum aus Stonetop: ein Teppich mit Feuermustern, dessen Meditation dich mit dem Urschrecken erfüllt, den alle Geschöpfe vor dem Feuer empfinden.
PAGE	512
H3	Ein reich gewebter Teppich
P	◇◇, <i>magisch</i>
P	Ausgerollt etwa 1,2 mal 2,1 m groß, gewebt mit stilisierten Mustern aus Feuer und Flammen. Flackernde Erbauerrunen sind im Gewebe zu sehen, stets unscharf, aber voller Andeutungen von Macht.
P	Du kannst die Geheimnisse dieses Teppichs entschlüsseln, aber zuerst musst du …
C	… vom Feuer gezeichnet werden und dich der Panik oder dem Schmerz des Brennens ergeben.
C	… dann wochenlang auf dem Teppich meditieren und die nun klaren Runen studieren.
C	… dich von einer schrecklichen Flamme verbrennen lassen, ohne aufzuschreien, und deine Furcht meistern.
H3	Furcht vor der Flamme
P	Hitze: ◇◇◇◇◇◇
P	Wenn du <b><i>etwa eine Stunde auf dem Teppich verbringst und über die Furcht vor dem Feuer meditierst, die allen natürlichen Dingen</i></b> <b><i>innewohnt</i></b>, hältst du Schrecken und kreuzt 1 Hitze an.
P	◇ <b>Schrecken</b>: Wenn du <b><i>den Schrecken entfesselst,</i></b> <b><i>den du hältst</i></b>, fürchten dich alle, die dich sehen, wie sie die Urflamme fürchten würden, bis du die Wirkung beendest.
P	Wenn du <b><i>die Wirkung beendest</i></b>, würfle 1d6. Ist der Wurf niedriger als deine Hitze, lösche all deine Hitze, und unter Schmerzen zeigt sich an dir ein dauerhaftes Zeichen deiner Verbindung zu den Flammen: eine Brandnarbe, rötliche Haut, glühende Augen, ein schwefliger Geruch usw.
P	Wenn <b><i>eine Jahreszeit vergeht, ohne dass du</i></b> <b><i>Schrecken entfesselst</i></b>, senke deine Hitze um 1.
