# minor-flying-cloak · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 3f5f1fb30efb279908bb3b21b89d5f607a270fba210be7356d732f1302884677
# title: Fliegender Umhang
# nav_label: Fliegender Umhang
# description: Fliegender Umhang (Flying Cloak), ein kleines Arkanum aus Stonetop: ein bestickter Umhang mit einem gebundenen Sturmgeist, der seinen Träger durch die Lüfte trägt.
PAGE	522
H3	Ein reich bestickter Umhang
P	◇, <i>magisch</i>, <i>warm</i>
P	Eine erlesen feine Wolle, blass blaugrau gefärbt und mit stilisierten Wolken bestickt. Der Saum trägt blauweiße Runen, mit Ätheriumdraht gestickt. Er fühlt sich feucht an, riecht nach Regen und Gewitterluft und flattert in einer Brise, die es nicht gibt.
P	Wenn du <b><i>den Umhang anlegst</i></b>, wirst du dir der darin gebundenen Präsenz bewusst, summend und ungeduldig. Um die Geheimnisse des Umhangs zu entschlüsseln, musst du …
C	… den Namen des gebundenen Geistes erfahren.
C	… das Befehlswort entziffern, das in uralter Erbauerschrift eingestickt ist.
C	… den Geist deinem Willen beugen und dabei seine (zerstörerische) Flucht riskieren.
H3	Fliegender Umhang
P	Wenn du <b><i>den Umhang trägst und das Befehlswort</i></b> <b><i>sprichst</i></b>, erwacht der Sturmgeist im Umhang zum Leben und gehorcht dir als Gefolgsmann. Er will nie landen; du musst seine Loyalität ausgeben oder ihn Überzeugen.
ICON	icons/spirit.svg
H3	Der Geist im Umhang
P	<i>Geist, magisch, stolz, stumm</i>
P	<b>HP</b> 13; <b>Rüstung</b> 1 (gestaltlos)
P	<b>Schaden</b> peitschender Wind, Regen, Trümmer d6
P	(<i>kurz, Fläche</i>)
P	<b>Instinkt</b> deine Befehle „nicht zu hören“
P	• Seinen Herrn auf einem Polster wirbelnder Winde emportragen
P	• Im Flug einen Sturm heraufbeschwören
P	• In seiner Umgebung Verwüstung anrichten
P	• Blitze aus einem tobenden Sturm schleudern, d10+3 (<i>fern</i>, <i>wuchtig</i>, <i>nachladen</i>)
P	<b>Preis</b> stundenlanges Umherfliegen (Loyalität ◇◇◇ )
P	<b>HP</b>
P	Beginnt bei 13
