# minor-heliors-shining-ring · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 45da0e9ca0f589cb3939676ae9a47168ca89e0a544b241458f19edd8c44ac5e8
# title: Heliors Leuchtender Ring
# nav_label: Heliors Leuchtender Ring
# description: Heliors Leuchtender Ring (Helior's Shining Ring), ein kleines Arkanum aus Stonetop: ein schlichter Goldring, der mit Sonnenlicht und Andacht zu Helior aufgeladen wird und heiliges Licht in die Dunkelheit strahlt.
PAGE	516
H3	Ein Goldring
P	<i>magisch</i>
P	Dieser schlichte, goldene Reif fängt das Licht ein und glänzt, selbst in der Dunkelheit. Seine bloße Gegenwart erfüllt gute Menschen mit Frieden und Hoffnung und Diener der Dunkelheit mit neidischem Hass.
P	Du kannst die Geheimnisse dieses Rings entschlüsseln, musst aber zuerst …
C	… den Ring 40 Tage lang ununterbrochen tragen und jeden Tag den Sonnenaufgang erleben.
C	… mit dem Ring am Finger eine mildtätige Tat vollbringen, eine, die das Leben des Empfängers verändert.
C	… an der frommen und rechten Verehrung Heliors teilnehmen.
H3	Heliors Leuchtender Ring
P	Tageslicht: ◇◇◇
P	Wenn du <b><i>den größten Teil eines Tages damit verbringst, den</i></b> <b><i>Ring zu tragen und Helior im vollen Sonnenlicht zu verehren</i></b>, halte 1 Tageslicht.
P	Wenn du <b><i>den Ring in Schatten oder Dunkelheit trägst</i></b> <b><i>und 1 Tageslicht ausgibst</i></b>, erstrahlt der Ring in heiligem Licht (<i>kurz</i>, <i>Fläche</i>), in das zu blicken den Geschöpfen der Dunkelheit Schmerzen bereitet. Er leuchtet ein paar Stunden lang, bis du ihn löschst oder bis eine andere Wirkung (etwa die Anrufungen des Lichtträgers) seinen Brennstoff verbraucht oder ihn auslöscht.
P	Leider strahlt der Ring, solange er leuchtet, auch wie ein psychisches Leuchtfeuer und macht Diener der Dunkelheit im Umkreis vieler Kilometer auf deine Anwesenheit und deinen Aufenthaltsort aufmerksam.
