# minor-ice-weaving · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 694cfeb77f5ccbbcfcdbed536d559696a7e4b121898a35789b2be85f19370169
# title: Eisweben
# nav_label: Eisweben
# description: Eisweben (Ice Weaving), ein kleines Arkanum aus Stonetop: ein riesiger Kodex der Reifherren, der lehrt, Dunkeleis aus dem eigenen Lebensblut zu formen.
PAGE	515
H3	Ein übergroßer Kodex
P	<i>unbeweglich</i>, <i>zerbrechlich</i>
P	Ein Buch, etwa 60 mal 90 cm groß und geschlossen knapp über 15 cm dick. Der Einband besteht aus silbrigen Zedernholzbrettern. Die Seiten sind aus feinem Pergament, gespannt aus den Häuten eines gewaltigen Tieres.
P	Die Seiten sind voller Kalligrafie, groß und präzise, mit vielen Diagrammen, die meditative Haltungen und seltsame geometrische Muster zeigen, die mit Hitze, Wasser und Eis zu tun haben.
P	Um die Geheimnisse des Kodex zu entschlüsseln, musst du …
C	… die Schrift entziffern, die in einer Form des Alphabets der Reifherren (Rime Lords) geschrieben ist.
C	… monatelang den Text studieren und die darin beschriebenen Techniken üben.
C	… riskieren, deiner Gesundheit dauerhaft zu schaden, während du sie meisterst.
H3	Eisweben
P	Wenn du <b><i>Dunkeleis durch deinen Willen entstehen lässt</i></b>, verliere 1 HP, +1
P	HP für jedes der Folgenden, das du willst:
B	Es reicht, um eine kleine Mauer zu bilden oder eine Person einzuschließen (sonst ist es höchstens ◇◇)
B	Es ist hart wie Stein
B	Es ist für Geister fest und kann sie blockieren/verletzen/ behindern Würfle dann +CON: <b>bei 10+</b> wähle 2; <b>bei 7-9</b> wähle 1, oder wähle 2 und verliere 2 weitere HP.
B	Es bildet sich schnell, sogar heftig (sonst dauert es Minuten, sogar Stunden)
B	Es bildet sich auf bis zu <i>kurze</i> Entfernung (sonst nur in Entfernung <i>Hand</i>)
B	Seine Form ist so kunstvoll, wie du sie dir vorstellen kannst (sonst ist es nur ein grober Block)
P	Das Eis bleibt bestehen, bis es zerbricht, von großer Hitze geschmolzen wird oder du es schmelzen lässt. Solange es besteht, kannst du die aufgewendeten HP nicht zurückgewinnen.
