# minor-impudent-polymorph · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: d418e372accf9b344648e18b2c42a0474738ed2bbc2ebe54bb17cc7637273425
# title: Dreiste Gestaltwandlung
# nav_label: Dreiste Gestaltwandlung
# description: Dreiste Gestaltwandlung (Impudent Polymorph), ein kleines Arkanum aus Stonetop: ein versiegeltes Eibenholzgefäß mit dem gebundenen Geist eines hochmütigen Grünen Herrn, den du zwingst, deine Gestalt zu verwandeln.
PAGE	525
H3	Ein großes Holzgefäß
P	◇◇ <b>,</b> <i>sperrig</i><b>,</b> <i>zerbrechlich</i><b>,</b> <i>magisch</i>
P	75 cm hoch und aus Eibe geschnitzt, mit einem Deckel in Form eines gehörnten Löwen, mit Wachs versiegelt.
P	Seine Oberfläche ist rissig und von Splittern roten Kristalls durchbohrt. Wenn du es berührst, spürst du großen Ärger und einen Hauch von Furcht.
P	Um die Geheimnisse des Gefäßes zu entschlüsseln, musst du …
C	… seine Oberfläche mit deinem eigenen frischen Blut waschen (verliere 1d10 HP und kreuze eine Schwächung an).
C	… mit dem Geist des hochmütigen Grünen Herrn (Green Lord) Zwiesprache halten, an den dieses Gefäß gebunden ist.
C	… lernen, mit den roten Kristallen den Geist des Grünen Herrn zu quälen.
C	… den gebundenen Geist des Grünen Herrn überzeugen, deine Gestalt zu verwandeln.
P	Wird <b><i>das Gefäß geöffnet</i></b>, ist all seine Magie verloren.
H3	Dreiste Gestaltwandlung
P	Groll ◇◇◇◇◇◇◇◇◇
P	Wenn du <b><i>das idyllische Nachleben des</i></b> <b><i>an das Gefäß gebundenen Grünen Herrn störst und verlangst, dass er</i></b> <b><i>deine Gestalt verwandelt,</i></b> beschreibe die Veränderung und wähle so viele, wie du dich traust:
B	Die Veränderung hält an, solange du willst (sonst, bis du bei einem Spielzug eine 6- würfelst)
B	Die Veränderung geht schnell und leicht (sonst dauert sie Minuten oder sogar Stunden)
B	Du passt dich schnell an die neue Gestalt an (sonst kreuze eine Schwächung an)
B	Wähle 2 deiner Werte; tausche ihre Werte, bis die Veränderung endet
P	Würfle dann +CHA: <b>bei 10+</b> vollzieht der Geist die Veränderung genau wie verlangt; <b>bei 7-9</b> vollzieht er die Veränderung, aber du erhältst Groll in Höhe der Anzahl deiner gewählten Optionen; <b>bei 6-</b> rebelliert der Geist und quält deinen Körper, was 1d10 Schaden pro gehaltenem Groll verursacht. Überlebst du, lösche allen Groll.
