# minor-make-pliant-the-stone · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: ac4fc700bfc59b84c1f1deba10f5ade21b8f93ac98e32c02d6ebc96a20322ed2
# title: Den Stein erweichen
# nav_label: Den Stein erweichen
# description: Den Stein erweichen (Make Pliant the Stone), ein kleines Arkanum aus Stonetop: ein Klangrohr aus Erbauerglas, dessen Ton Stein, Kristall und Glas formbar macht.
PAGE	525
H3	Ein Klangrohr aus Erbauerglas
P	◇◇ <b>,</b> <i>unzerstörbar</i><b>,</b> <i>magisch</i><b>,</b> <i>laut</i><b>,</b> <i>gefährlich</i>
P	Ein Zylinder, etwa 1,2 m lang und 7,5 cm breit, das Glas erstaunlich dünn. Sanft angeschlagen klingt er in einem vollen, sonoren Ton. Kräftig angeschlagen ist der Klang fast ohrenbetäubend und lässt auf der Oberfläche von Stein, Kristall oder gewöhnlichem Glas in der Nähe ein Wellenmuster erscheinen.
P	Das Klangrohr ist ein mächtiges Werkzeug, wenn du seine Geheimnisse entschlüsseln kannst. Dazu …
C	… packe es fest und führe einen kräftigen, gewaltigen Schlag, wobei du +CON würfelst: <b>bei 10+</b> hast du es geschafft; <b>bei 7-9</b> kreuze eine Schwächung an und du musst es erneut versuchen; <b>bei 6-</b> frag die SL, was furchtbar schiefgeht.
C	… verbringe etwa eine Woche damit zu lernen, das klingende Rohr zu beherrschen.
C	… du riskierst dauerhafte Schäden an deinem Gehör und schwere Schäden an allem in der Nähe, während du übst.
H3	Den Stein erweichen
P	Wenn du <b><i>das Klangrohr kräftig anschlägst und dich</i></b> <b><i>zwingst, es fest im Griff zu behalten</i></b>, kreuze eine Schwächung an und würfle +CON.
P	<b>Bei 10+</b> behältst du die Kontrolle, und das Klangrohr klingt etwa eine Minute lang. Solange es klingt, wird jeder Stein, Kristall oder jedes Glas, das du mit dem Rohr berührst, weich und formbar, leicht zu gestalten und zu modellieren. Je länger die Berührung, desto mehr Material wird geschmeidig. Es wird wieder hart, wenn der Klang verstummt, behält aber seine aktuelle Form.
P	<b>Bei 7-9</b> wähle 1:
B	Behalte die Kontrolle wie bei 10+, aber du musst dich ganz hineingeben – kreuze eine weitere Schwächung an
B	Erkenne, dass du es nicht beherrschen kannst, und dämpfe das Klangrohr, bevor es Schaden anrichtet (sag, wie)
P	36
