# minor-mantle-wraiths · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: e4f9376f94c9c293e62a9b425844ca1c6dc9ef8d19fa2090adc8b8804b640dd6
# title: Mantelgespenster
# nav_label: Mantelgespenster
# description: Mantelgespenster (Mantle Wraiths), ein kleines Arkanum aus Stonetop: ein zerlumpter Mantel mit eingenähten Menschenzähnen, an den geifernde Gespenster gebunden sind.
PAGE	512
H3	Ein zerlumpter Mantel
P	◇, <i>warm, magisch</i>
P	Gefunden an einem Skelett, von dem jedes Fleisch abgenagt wurde und dessen Knochen etwas tragen, das man nur als Bissspuren bezeichnen kann. Bei genauem Hinsehen zeigen sich in den Mantel gewobene Siegel aus silbrigem Faden, und in den Saum sind Menschenzähne genäht wie Zierperlen.
P	Du kannst die Macht dieses Mantels entschlüsseln, indem du …
C	… ihn drei Tage und drei lange, lange Nächte trägst und die Albträume durchstehst.
C	… die geifernden Gespenster, die an ihn gebunden sind, bändigst.
H3	Mantelgespenster
P	Wenn du <b><i>die an den Mantel gebundenen Gespenster</i></b> <b><i>loslässt</i></b>, behandle sie als Gefolgsleute. Sie kehren nur äußerst ungern in den Mantel zurück; du musst ihre Loyalität ausgeben oder sie Überzeugen.
ICON	icons/spirit.svg
H3	Mantelgespenster
P	<i>Gruppe</i> (3), <i>Geist, untot, furchterregend, bösartig</i>
P	<b>HP</b> 13; <b>Rüstung</b> 1 (gestaltlos)
P	<b>Schaden</b> Lebensentzug d8 (<i>Hand</i>, ignoriert Rüstung)
P	<b>Instinkt</b> hemmungslos zu wüten
P	<b>Besondere Eigenschaften</b> machtlos bei Tageslicht
P	• Dem Träger ihre Sehnsüchte zuflüstern
P	• Eine Gestalt aus Schatten und Kälte manifestieren (nur durch Silber und Salz verwundbar)
P	• Sich auf die Lebenden stürzen
P	• Ihrer Beute die Lebenskraft aussaugen
P	<b>Preis</b> verschlungene Seelen (Loyalität ◇◇◇ )
P	<b>HP</b>
P	Beginnt bei je 13
P	10
