# minor-moonstone · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 870f6051183ac582756a437e87221f0fbfb9927cb744f80ee0012670670bcbdd
# title: Mondstein
# nav_label: Mondstein
# description: Mondstein (Moonstone), ein kleines Arkanum aus Stonetop: ein Talisman aus milchigem Kristall, der mit Mondlicht aufgeladen wird und die Untoten enthüllt und verbrennt.
PAGE	536
H3	Eine Ader aus milchigem Kristall
P	<i>magisch, schön, unbeweglich</i>
P	Gefunden in einer Höhle, einem Berg oder einem Felsvorsprung, von den Einheimischen wahrscheinlich als heilig betrachtet. Sie sieht aus wie trüber weißer Quarz, leuchtet aber nachts schwach.
P	Du kannst die Geheimnisse dieser Ader entschlüsseln und einen Talisman gegen die Untoten fertigen, aber dazu musst du …
C	… eigenhändig einen großen ◇ Kristallbrocken (Wert 1) aus der Ader brechen.
C	… ihn von einem Steinschneider zu einer vollkommenen Kugel formen und polieren lassen (eine Arbeit mit Wert 1).
C	… die heiligen Worte lernen, mit denen man einen Mondstein mit Licht erfüllt und dieses Licht dann hervorruft.
C	… drei Nächte unter dem Vollmond verbringen, die heiligen Worte sprechen und einen Fehler riskieren, der den Mondstein zerstört oder zumindest deine Mühen in diesem Monat zunichtemacht.
H3	Mondstein
P	◇, <i>schön, magisch</i>, <i>zerbrechlich</i>,
P	Stunden: ◇◇◇◇◇
P	Wenn du <b><i>eine Nacht unter dem Vollmond verbringst,</i></b> und sein Licht in den Mondstein lenkst, erhält er 1 Stunde Licht (höchstens 5).
P	Wenn du <b><i>den Mondstein in der Dunkelheit emporhältst</i></b> <b><i>und ein heiliges Wort sprichst</i></b>, strahlt er in bleichem, weißem Licht (<i>Fläche</i>, <i>kurz</i>), das keine Farbe zeigt, nur Form und Oberfläche. Das Licht enthüllt die Untoten, selbst Geister, die sich noch nicht manifestiert haben, und Wesenheiten, die durch Magie oder Verkleidung verhüllt sind.
P	Wenn <b><i>der Mondstein deine einzige Lichtquelle ist und</i></b> <b><i>du das richtige Wort rufst</i></b>, erstrahlt er in silbernem Licht, und alle Untoten in Reichweite erleiden 1d6 Schaden pro verbleibender Stunde Licht (ignoriert Rüstung). Dann erlischt der Mondstein, sein Licht ist verbraucht, bis du ihn wieder auflädst.
