# minor-old-mothers-wine · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 2a1fb6bb8a668b001934fcc1a2ed1b87ae5aeb910ca76991fe2a3012dab29ad3
# title: Wein der Alten Mutter
# nav_label: Wein der Alten Mutter
# description: Wein der Alten Mutter (Old Mother's Wine), ein kleines Arkanum aus Stonetop: ein seltsames Büchlein mit dem Rezept für einen Holunderwein voller Fae-Magie, bezahlt mit verlorenen Erinnerungen.
PAGE	509
H3	Ein kleines, seltsames Buch
P	<i>zerbrechlich</i>
P	Ein kleines Handbuch, geschrieben auf etwas, das wie geschmeidige Blätter aussieht. Es ist in der gemeinen Schrift verfasst, aber in einer seltsam poetischen Folge unsinniger Silben.
P	Das Handbuch enthüllt das Rezept für einen Holunderwein, der vor Fae-Magie überquillt, doch um das Rezept zu lernen, musst du entweder …
C	… Hilfe von einem Fae-Dichter bekommen, oder vielleicht von jemandem aus dem Waldvolk (Forest Folk); oder …
C	… riskieren, das Rezept falsch hinzubekommen und jeden zu vergiften oder zu verfluchen, der den von dir gebrauten Wein trinkt.
H3	Wein der Alten Mutter
P	Verlorene Erinnerungen: ◇◇◇◇◇◇
P	Wenn du <b><i>einem beerenbeladenen Holunder-</i></b> <b><i>strauch eine Erinnerung opferst</i></b>, erzähl uns, was du aufgegeben hast. Kreuze 1 verlorene Erinnerung an und würfle 1d6; würfelst du weniger als deine verlorenen Erinnerungen, ändere deinen Instinkt und lösche deine Markierungen.
P	Wenn du <b><i>die Beeren erntest und eine Jahreszeit damit</i></b> <b><i>verbringst, Wein daraus zu machen</i></b>, erhältst du einen Schlauch Wein der Alten Mutter (5 Anwendungen, magisch).
P	Wenn du <b><i>dir am Wein der Alten Mutter einen Schwips antrinkst</i></b>, verbrauche eine Anwendung. Eine Nacht und einen Tag lang sind deine Augen für Fae-Magie geöffnet, das heißt:
B	Du siehst die Wahrheit hinter Illusionen und Blendwerk der Fae
B	Du bist immun gegen Verzauberungen der Fae
B	Du kannst Reiche der Fae frei betreten und die Pfade der Fae beschreiten
B	Die Zeit vergeht für dich in Reichen der Fae normal
