# minor-peacebond · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 593033fb6f630dbae6870a3fc6944a32b29de7158f84a23477c3bcf3587ae464
# title: Friedensbann
# nav_label: Friedensbann
# description: Friedensbann (Peacebond), ein kleines Arkanum aus Stonetop: die Glyphen einer zugemauerten Höhle voller Toter, die an jedem Ort, den du mit ihnen zeichnest, Gewalt unterdrücken.
PAGE	519
H3	Eine versiegelte Höhle
P	<i>magisch</i>
P	Hoch in den Hügeln oder Bergen findet sich ein zugemauerter Höhleneingang. Drinnen liegen Dutzende Leichen, durch die Kälte seit Jahrhunderten erhalten.
P	Viele haben missgebildete Kiefer, übergroße Zähne, lange Finger, die sich zu Klauen verjüngen. Nur wenige zeigen Spuren von Gewalt; es scheint, als hätten sie sich einfach hingelegt und wären gestorben.
P	Tatsächlich rauben die verschlungenen Glyphen, die überall in die Höhlenwände geritzt sind, dir den Willen, dich zu wehren, zu kämpfen, überhaupt irgendetwas … zu tun. Du kannst ihre Geheimnisse lernen, aber …
C	… es kostet Tage sorgfältigen Abschreibens, heimgesucht von trübsinnigen Schatten.
C	… du riskierst, der Schwermut dieses Ortes zu erliegen.
H3	Friedensbann
P	Wenn du <b><i>einen Ort mit den Glyphen des Friedens-</i></b> <b><i>banns zeichnest</i></b>, wird Gewalt (selbst zur Selbstverteidigung) in diesem Bereich unterdrückt, solange die Glyphen bestehen. Je länger man in einem gebannten Bereich verweilt und je dichter die Glyphen gewoben sind, desto stärker die Wirkung.
P	Wenn du <b><i>versuchst, innerhalb eines gebannten</i></b>
P	<b><i>Bereichs Gewalt zu verüben oder den Glyphen des Friedensbanns</i></b>
P	<b><i>selbst zu schaden</i></b>, zögerst du.
P	Wenn du <b><i>dich zwingst weiterzumachen</i></b>, verliere 1d4 HP und würfle +WIS: <b>bei 10+</b> tu es; <b>bei 7-9</b> handelst du, hast aber Nachteil auf alle Würfe, um Gewalt zu verüben (einschließlich Schaden); <b>bei 6-</b> handelst du nicht und kreuzt <i>benommen</i> an.
