# minor-plaster-of-joining · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 4f8de558a71a734a0da6169af506d41a006fb6e0d4c76361c697498c782b4f87
# title: Fügemörtel
# nav_label: Fügemörtel
# description: Fügemörtel (Plaster of Joining), ein kleines Arkanum aus Stonetop: eine Keramikurne mit einem chthonischen Geist, dessen Mörtel Stein, Fels und Kristall nahtlos verschmilzt.
PAGE	526
H3	Eine feine Keramikurne
P	◇ <b>,</b> <i>schön</i><b>,</b> <i>zerbrechlich</i><b>,</b> <i>magisch</i>
P	Ein Gefäß aus feiner Töpferware, so groß wie ein kleiner Kochtopf.
P	Seine Glasur ist eine wundersame Mischung aus Mustern und Schimmer. Der Deckel sitzt fest, ist aber umständlich zu handhaben und schwer zu öffnen, wenn er einmal geschlossen ist.
P	Du hast das Gefühl, dass es für viel größere Hände gemacht wurde als deine.
P	Um die Geheimnisse der Urne zu entschlüsseln, musst du …
C	… mit dem chthonischen Geist Zwiesprache halten, der darin wohnt (<b>Instinkt</b> Geheimnisse zu horten).
C	… ihn überzeugen, dich sowohl das geheime Rezept als auch das Lied zu lehren, die nötig sind, damit seine Magie wirkt.
C	… die Zutaten für das Rezept beschaffen (Wert 1).
C	… es schaffen, das geheime Lied einen Tag und eine Nacht lang ohne Pause zu singen.
H3	Fügemörtel
P	Anwendungen ◇◇◇
P	Wenn du <b><i>Wasser, eine Prise Blut und besondere Zutaten (Wert 1) in die Urne gibst und</i></b> <b><i>einen ganzen Tag und eine Nacht darüber singst</i></b>, erhält die Urne 1 Anwendung Mörtel (höchstens 3 Anwendungen).
P	Wenn du <b><i>mit dem Mörtel zwei oder mehr Stücke</i></b> <b><i>aus Stein, Fels oder Kristall verbindest</i></b> und den Mörtel ein paar Stunden abbinden lässt, verschmelzen die Stücke miteinander. Unterschiedliche Materialien zeigen eine natürliche, fließende Naht.
P	Gleichartige Materialien verschmelzen nahtlos.
P	Eine einzelne Anwendung des Mörtels reicht für eine Fläche von bis zu ein paar Zentimetern Breite und Höhe. Mehrere Anwendungen können größere Steinstücke verbinden. Unbenutzter Mörtel hält unbegrenzt, solange die Urne versiegelt bleibt.
