# minor-preserving-runes · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: f26f9cb27369d3bec8856f18ffaa88e916cdcb2ef087c1b006fe580f0e442458
# title: Runen der Bewahrung
# nav_label: Runen der Bewahrung
# description: Runen der Bewahrung (Preserving Runes), ein kleines Arkanum aus Stonetop: die verborgenen Runen eines zeitlosen Gewölbes, die Räume und Behälter vor Staub, Fäulnis und Rost bewahren.
PAGE	518
H3	Ein zeitloses Gewölbe
P	<i>magisch</i>
P	Hoch in den Hügeln oder Bergen sind zwei gewaltige Steintüren in den Hang eingelassen. Die Zeichen außen sind verblasst und mit Flechten bedeckt. Die Türen sind nicht verschlossen; eine steht einen Spalt offen. Drinnen sind das Gewölbe und sein Inhalt von der Zeit unberührt, frei von Staub und Schimmel. Offensichtlich ist hier Magie am Werk.
P	Um die Geheimnisse des Stillstands an diesem Ort zu entschlüsseln …
C	… finde und enthülle die verborgenen Runen, die die Magie verankern.
C	… verbringe ein paar Stunden damit, sie abzuschreiben, und riskiere einen Fehler.
C	… verbringe Wochen damit, die Runen auf Gegenstände nachzuzeichnen, bis sie silbern aufleuchten und verschwinden.
H3	Runen der Bewahrung
P	Wenn du <b><i>die Runen an der Innenseite eines</i></b> <b><i>Raums oder Behälters nachzeichnest</i></b>, leuchten sie silbern auf und verblassen und bewahren den Inhalt vor Staub, Verderb, Rost usw. Verliere 1 HP, plus 1 HP für jedes der Folgenden, das zutrifft:
B	Der Behälter/Raum ist in irgendeiner Richtung länger als etwa einen Meter
B	Der Behälter ist tragbar (sonst endet die Wirkung, wenn er bewegt wird)
B	Die Wirkung hält unbegrenzt an, solange die Runen unversehrt sind (sonst beginnt sie, wenn der Raum/Behälter versiegelt wird, und endet, wenn er geöffnet wird)
P	Sobald die Runen angebracht sind, würfle +CON: <b>bei</b> <b>10+</b> gewinnst du die verlorenen HP normal zurück; <b>bei 7-9</b> kannst du die verlorenen HP nicht zurückgewinnen, bis eine Jahreszeit vergeht <i>oder</i> die Wirkung endet, je nachdem, was zuerst eintritt; <b>bei 6-</b> kannst du die verlorenen HP nicht zurückgewinnen, bis die Wirkung endet
P	und danach eine Jahreszeit vergeht (und kreuze kein XP an).
