# minor-searing-touch · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 6ff10a7fbd24388b2cf3da9b2247407f4468aa76763f25ba3405a85dc02c0869
# title: Sengende Berührung
# nav_label: Sengende Berührung
# description: Sengende Berührung (Searing Touch), ein kleines Arkanum aus Stonetop: ein unvollendetes Runen-Brandeisen der Schmiedeherren, das dir Feuer in die Seele brennt, bis deine Hände weißglühend lodern.
PAGE	534
H3	Ein Runen-Brandeisen
P	◇, <i>magisch</i>
P	Gefunden in der Werkstatt eines Schmiedeherrn (Forge Lord), noch immer in einem Schraubstock eingespannt. Der Kopf hat eine Runenform
P	von 15 mal 15 cm, in deren Oberfläche kleinere Runen geätzt sind. Zumindest in den größten Teil der Oberfläche. Ein paar Zentimeter sind leer, die Arbeit offensichtlich unvollendet.
P	Um die Geheimnisse dieses Eisens zu entschlüsseln und seine Macht für dich zu beanspruchen, musst du …
C	… die Bedeutung der Runen entziffern und die fehlenden bestimmen.
C	… die Ätzungen vollenden und einen Fehler riskieren, durch den der nächste Schritt fehlschlägt.
C	… das Eisen rotglühend erhitzen und dich brandmarken lassen (verliere 3d6 HP), während die Runen vom Eisen verblassen und sich in deine Seele brennen.
C	… die Wunde heilen und vernarben lassen, ohne die Hilfe jeglicher Magie.
H3	Sengende Berührung
P	Wenn du <b><i>das Feuer aus deiner Seele heraufbeschwörst und</i></b> <b><i>es in deine Hände gießt</i></b>, würfle +CON: <b>bei 7+</b> lodern deine Hände wie weißglühendes Eisen (siehe unten); <b>aber</b> <b>bei 10+</b> wähle zuerst 1; <b>und bei 7-9</b> wähle zuerst 2:
B	Es erfordert minutenlange, angestrengte Konzentration
B	Es verbrennt deine Lebenskraft; verliere 2d4 HP
B	Der Schmerz ist schrecklich; kreuze eine Schwächung an
P	<b>Bei 6-</b> kannst du dies, was auch immer die SL sonst sagt, erst wieder tun, wenn du dich Auskuriert hast.
P	Solange deine <b><i>Hände lodern</i></b>, verursacht deine Berührung 1d10 Schaden (<i>Hand</i>, <i>blutig</i>, <i>gefährlich</i>, 1 durchdringend), setzt Holz in Brand, bringt Wasser zum Kochen, erhitzt Metall. Deinen Händen schadet die Hitze nicht, doch deine Ausrüstung und der Rest deines Körpers genießen keinen solchen Schutz.
P	Sei vorsichtig.
P	Deine Hände lodern, solange du die Konzentration hältst, bis zu einer Minute oder vielleicht zwei.
