# minor-the-angry-little-god · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 88d53588c10dc1a839f293567109e92fa9d5c061f1a36b7b986df544b1561987
# title: Der Zornige Kleine Gott
# nav_label: Der Zornige Kleine Gott
# description: Der Zornige Kleine Gott (The Angry Little God), ein kleines Arkanum aus Stonetop: ein steinernes Götzenbild, in dem ein eitler kleiner Fae steckt, der sich widerwillig als Gefolgsmann gewinnen lässt.
PAGE	538
H3	Ein steinernes Götzenbild
P	◇, <i>roh, magisch</i>
P	Gefunden im hintersten Winkel einer Höhle oder Grotte, verdeckt von Wurzeln und Geröll, umgeben von vertrockneten, verrottenden Opfergaben. Ein grobes, gedrungenes Ding mit dem höhnischen Gesicht eines Opossums, einem dornigen Schwanz und Blumen als Ohren.
P	Das Götzenbild ist in Wahrheit ein selbstverliebter kleiner Fae, gefangen (versteckt? stur verschanzt?) in der Gestalt eines Götzenbilds aus Stein. Um seine „Geheimnisse“ zu entschlüsseln und von seiner Gunst zu profitieren, musst du …
C	… den Schrein wiederherstellen, während du die Beschimpfungen seines zornigen kleinen Gottes erträgst.
C	… das Götzenbild aus Stein und Geröll befreien, in dem es steckt, auf die Gefahr hin, es zu beschädigen/zu beleidigen.
C	… das Götzenbild dazu bringen, eine Opfergabe anzunehmen, die es dauerhaft in deine Schuld stellt. Ein Überschuss an Essen und/oder Whisky sollte genügen.
H3	Der Zornige Kleine Gott
P	Wenn du <b><i>das Götzenbild an einem herausgehobenen Ort aufstellst und</i></b> <b><i>es anflehst, sich seines demütigen Dieners anzunehmen,</i></b> erwacht es (bleibt aber reglos). Behandle es als Gefolgsmann, auch wenn es sich selbst kaum als solchen betrachtet.
ICON	icons/fae.svg
H3	Der allmächtige Distelbart
P	<i>Fae, winzig, magisch, hinterlistig, arrogant</i>
P	<b>HP</b> 15; <b>Rüstung</b> 6 (Stein, Widerstandskraft), 2 gegen Eisen <b>Besondere Eigenschaften</b> reglos; körperlose Stimme <b>Instinkt</b> seine Anbeter mit Beschimpfungen zu überhäufen
P	• Unvernünftige Forderungen stellen
P	• Die Essenz von Speisen verzehren
P	• Jemandes müßige Gedanken/Erinnerungen spüren
P	• Mächtige Illusionen und Trugbilder weben (<i>kurz</i>, <i>Fläche</i>)
P	• Sich langweilen/eingeschnappt sein und einschlafen
P	<b>Preis</b> Unterwürfigkeit und immer größere Opfergaben an Essen (Loyalität: ◇◇◇ )
P	<b>HP</b>
P	Beginnt bei 15
