# minor-the-brooms-lullaby · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 4e2e4464381576f074f5685ab18163fba5646fc1ad6c5d826787c29f45fc9a8b
# title: Das Wiegenlied des Besens
# nav_label: Das Wiegenlied des Besens
# description: Das Wiegenlied des Besens (The Broom's Lullaby), ein kleines Arkanum aus Stonetop: ein schlichter Vogelbeerbesen, dessen gesungenes Wiegenlied Zuhörer bannt und in tiefen Schlaf versetzt.
PAGE	537
H3	Ein schlichter Besen
P	◇, <i>magisch, roh</i>
P	Nur ein abgenutzter Stiel aus Vogelbeerholz, der ein paar neue Borsten gebrauchen könnte. Du würdest keinen weiteren Gedanken daran verschwenden. Nur … wenn du ihn hältst und damit fegst, ertappst du dich dabei, wie du eine halb vergessene Melodie summst.
P	Offensichtlich steckt in diesem Besen mehr, als man auf den ersten Blick sieht. Um seine Geheimnisse zu entschlüsseln, musst du …
C	… einen Fae finden, der das Lied des Besens vollständig hören kann.
C	… ihn überzeugen, dir das Lied des Besens ganz beizubringen.
C	… den Besen eine ganze Jahreszeit lang mindestens einmal täglich benutzen und dabei das Wiegenlied singen.
C	… riskieren, in einen anhaltenden, zeitlosen Schlaf zu fallen, während du das Wiegenlied übst.
H3	Das Wiegenlied des Besens
P	<i>magisch, Fläche, kurz</i>
P	Wenn du <b><i>beginnst, einen Bereich zu fegen, während du leise</i></b> <b><i>das Wiegenlied singst</i></b>, würfle +CHA: <b>bei 7+</b> halten die, die dich sehen und hören, inne, um zuzusehen und zu lauschen, zumindest eine Weile, gebannt oder verwirrt oder belustigt, wie es zu ihrem Wesen und den Umständen passt. Sie kommen wieder zu sich, wenn sie verletzt oder bedroht werden. <b>Außerdem</b> <b>kannst du bei 10+</b> ihre Aufmerksamkeit für die Dauer des Wiegenlieds halten, solange niemand verletzt oder bedroht wird.
P	Wenn du <b><i>das ganze Wiegenlied singst und dabei</i></b> <b><i>die ganze Zeit fegst</i></b>, würfle +CHA: <b>bei 10+</b> fallen alle, die dich hören, in tiefen Schlaf und neigen dazu, dies als bloßen Traum abzutun; <b>bei 7-9</b> beginnen alle, die dich hören, einzunicken oder in einen leichten, unruhigen Schlaf zu fallen, erinnern sich aber gewiss daran, wenn sie wieder zu sich kommen; <b>bei 6-</b> schreckt mindestens einer deiner Zuhörer auf und merkt, wie seltsam das alles ist.
P	60
