# minor-the-flesh-is-like-clay · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: a646473d865f407fe74be39aeab2c295a62736990923692ba512f7e0749d871f
# title: Das Fleisch ist wie Ton
# nav_label: Das Fleisch ist wie Ton
# description: Das Fleisch ist wie Ton (The Flesh Is Like Clay), ein kleines Arkanum aus Stonetop: eine verderbte Höhle mit rotem Kristall, in der grausame Blutopfer deinen Körper stärken und umformen.
PAGE	528
H3	Eine unheimliche Höhle
P	Irgendwo gibt es eine Höhle – irgendwo, wohin nie Licht dringt –, deren Wände wogende Gebilde sind, glitschig und nass, durchzogen von Adern roten Kristalls, der nicht mehr leuchtet. Der Stein wogt im flackernden Fackelschein. Ja, ja, das muss es sein … ein Spiel des Lichts, nichts weiter.
P	Die Höhle trägt noch den Makel eines Dings in der Tiefe (Thing Below), ist aber von seiner Macht abgeschnitten. Um ihre Geheimnisse zu entschlüsseln, musst du …
C	… den Namen des Dings in der Tiefe erfahren, das diesen Ort einst verdorben hat.
C	… mindestens einen ganzen Tag in völliger Dunkelheit hierbleiben, trotz der Albträume und Trugbilder, die deine Seele prüfen.
C	… ein noch lebendes, warmblütiges Wesen in die Höhle bringen und sein Lebensblut auf die Steine vergießen, während du den Namen des Dings in der Tiefe anstimmst, das diesen unheiligen Ort einst berührt hat.
H3	Das Fleisch ist wie Ton
P	Wenn du <b><i>in der Höhle grausam ein warmblütiges Wesen tötest,</i></b> <b><i></i></b> eines von ähnlicher Größe wie du, und <b><i>sowohl sein Blut als auch deines auf die Steine schmierst,</i></b> kreuze 1 an:
C	Erhalte unheilige Widerstandskraft: Erhöhe deine maximalen HP um 2 und erhalte +1 Rüstung gegen alles außer Bronze.
C	Erhalte eine der körperlichen Eigenschaften deines Opfers (seine Stärke, seine Schnelligkeit, sein Aussehen, sein starkes Herz usw.).
C	Heile eine dauerhafte Verletzung (eine Gliedmaße nachwachsen lassen, eine Narbe entfernen, ein kaputtes Knie richten usw.).
P	<b><i>Jedes Mal, wenn du diese Macht nutzt</i></b>, kreuze alle drei Schwächungen an. Mit jeder Nutzung verschwindet etwas vom roten Kristall aus der Höhle. Nach der dritten Nutzung sind der Kristall und die Macht der Höhle dahin.
