# minor-thunderbolt-bow · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 5146230ac1ac533ed051ae2a06ef4b5a47f8067e52b187ae4c80ad6ad7627690
# title: Donnerkeilbogen
# nav_label: Donnerkeilbogen
# description: Donnerkeilbogen (Thunderbolt Bow), ein kleines Arkanum aus Stonetop: ein sehnenloser Bogen aus blassblauem Metall, dessen Sehne aus Blitz Donnerkeile verschießt.
PAGE	532
H3	Ein Bogen ohne Sehne
P	◇, <i>magisch</i>
P	Ein kurzer Flachbogen aus blassblauem Metall, starr und anmutig gekrümmt, obwohl er nicht bespannt ist.
P	Es gibt nicht einmal Kerben, an denen man eine Sehne befestigen <i>könnte</i>.
P	Er scheint von geringem Nutzen zu sein, doch in diesem Bogen steckt mehr, als man auf den ersten Blick sieht. Um seine Geheimnisse zu entschlüsseln, musst du …
C	… einen Handschuh aus Ätherium beschaffen, der richtig auf den Bogen abgestimmt ist.
C	… das geheime Wort lernen, das den Bogen aktiviert.
C	… den Bogen mit Blitzen aufladen und dabei riskieren, dem Bogen oder dir selbst zu schaden.
C	… ein paar Wochen üben und dabei allerlei Kollateralschaden riskieren.
H3	Donnerkeilbogen
P	◇, <i>fern</i>, <i>wuchtig</i>, <i>magisch</i>, <i>laut</i>, <i>nachladen</i>, ignoriert Rüstung, ◇ reichlich übrig, wenig Munition, alles verbraucht ◇◇
P	Wenn du <b><i>das geheime Wort sprichst</i></b>, erwacht der Bogen und summt bedrohlich. Wenn du dann <b><i>den Ätheriumhandschuh trägst und dorthin greifst, wo die</i></b> <b><i>Sehne sein sollte</i></b>, erscheint zwischen den Bogenenden eine knisternde Linie aus Blitz.
P	Wenn du <b><i>den Blitz zurückziehst</i></b>, bildet sich dort, wo ein Pfeil sein sollte, ein Donnerkeil. Er entsteht im Lauf eines tiefen Atemzugs, danach kannst du eine Salve abgeben.
P	Du musst den Bogen mit Blitzen aufladen, um seine Munition aufzufüllen.
P	Wenn du <b><i>den Blitz mindestens</i></b> <b><i>zehn tiefe Atemzüge lang zurückziehst</i></b>, verbrauche deine Munition. Dein nächster Schuss verursacht +1d4 Schaden (+<i>Fläche</i>, +<i>gefährlich</i>), doch würfelst du bei Salve einen Einserpasch, explodiert der Bogen (3d6 Schaden, <i>Reichweite</i>, <i>Fläche</i>, <i>wuchtig</i>, <i>laut</i>).
