# minor-thunderous-bellow · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: 9c62b842f7aaa712fc4e4367256c1eb5a95894461fe032665085b78248711f28
# title: Donnerndes Gebrüll
# nav_label: Donnerndes Gebrüll
# description: Donnerndes Gebrüll (Thunderous Bellow), ein kleines Arkanum aus Stonetop: eine halb vergrabene Bronzeplatte mit einem Zauber, der den Urgewittersturm in einem ohrenbetäubenden Brüllen entfesselt.
PAGE	510
H3	Eine halb vergrabene Platte
P	◇◇, <i>sperrig</i>, <i>magisch</i>
P	Eine Bronzeplatte, die irgendwo im Flachland (Flats) oder nahe dem Grauenfluss (Dread River) aus dem Boden ragt. Sie ist verbeult, etwas verzogen, und in ihre Oberfläche sind Erbauerrunen und esoterische Diagramme geätzt. Wie zum Teufel ist sie hierhergekommen?
P	Die Platte enthält den Ablauf eines Zaubers, den du lernen kannst, aber …
C	… zuerst musst du die Platte ausgraben und säubern.
C	… du musst die Erbauerrunen entziffern.
C	… es kostet ein paar Wochen Studium.
C	… du riskierst, beim Üben deiner Stimme, deinem Gehör und/oder deinen Nachbarn zu schaden.
H3	Donnerndes Gebrüll
P	Wenn du <b><i>den Ursturm durch dich leitest und</i></b> <b><i>ein donnerndes Gebrüll ausstößt</i></b>, erleide 1d6 Schaden (ignoriert Rüstung) und würfle +CON: <b>bei 10+</b> muss jeder in der Nähe (außer dir) 2 wählen; <b>bei 7-9</b> muss jeder in der Nähe (außer dir) 1 wählen.
B	Fallen lassen, was er trägt, und sich die Ohren zuhalten
B	Für ein paar Augenblicke taub und orientierungslos sein
B	Ein paar Schritte von dir wegtaumeln 6
