# minor-void-elemental · de · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: de
# source_sha256: a5b7491de500480f8caea17236bd08daec503d089f0d2cf902849bd36d89d1f1
# title: Elementar der Leere
# nav_label: Elementar der Leere
# description: Elementar der Leere (Void Elemental), ein kleines Arkanum aus Stonetop: eine übergroße Krone aus schwarzem Metall und Ätherium, mit der du einen verwirrten, zornigen Urgeist der Leere beschwörst.
PAGE	539
H3	Eine übergroße Krone
P	◇, <i>schön, magisch, feuerfest</i>
P	Ein Reif aus schwarzem, glänzendem Metall, besetzt mit acht Spitzen aus Ätherium. Er ist für einen Kopf bemessen, der vielleicht doppelt so groß ist wie deiner, und fühlt sich immer etwas kühl an. Selbst in den heißesten Ofen geworfen, schmilzt er nicht und wird nicht einmal warm.
P	Wenn du <b><i>die Krone mit bloßer Haut berührst und</i></b> <b><i>deinen Geist öffnest</i></b>, kannst du mit dem Urgeist sprechen, auf den die Krone abgestimmt ist. Doch um die Geheimnisse dieser Krone ganz zu entschlüsseln, musst du …
C	… dein Selbstgefühl aufs Spiel setzen, während du mit diesem Geist der Leere Zwiesprache hältst.
C	… die Worte des Seins lernen, die den Geist zwingen, sich zu manifestieren.
C	… die Worte des Nichtseins lernen, die den Geist heimschicken.
C	… den Geist überzeugen, sich zu manifestieren, und ihn dann erfolgreich entlassen.
H3	Elementar der Leere
P	Loyalität: ◇◇◇
P	Wenn du <b><i>die Krone berührst und die Worte</i></b> <b><i>des Seins sprichst</i></b>, manifestiert sich der Geist. Behandle ihn als Gefolgsmann, der zu Beginn 3 Loyalität hat (mehr kann er nie erhalten). Wenn du <b><i>die Krone berührst und</i></b> <b><i>die Worte des Nichtseins singst</i></b>, kann der Geist in die Leere zurückkehren – wenn er will.
ICON	icons/spirit.svg
H3	Elementar der Leere
P	<i>Geist, urzeitlich, verwirrt, zornig</i>
P	<b>HP</b> 15; <b>Rüstung</b> 1 (ohne Organe)
P	<b>Schaden</b> Berührung der Leere 1d10 mit Vorteil (<i>Hand</i>, <i>packend</i>, ignoriert Rüstung)
P	<b>Besondere Eigenschaften</b> gegen den meisten Schaden immun <b>Instinkt</b> über all den Lärm und das Chaos zu toben
P	• Sich als schwarzes Loch in der Wirklichkeit manifestieren
P	• Eine Energiequelle auslöschen
P	• In Verwirrung geraten, unsicher, was zu tun ist
P	<b>HP</b>
P	Beginnt bei 15
