# initiates-of-danu · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: e324d4b042e66148254d7dbf338a3bc2c979ab1daae5cf28e7ec51cc8238236e
# title: Iniciados de Danu
# nav_label: Iniciados de Danu
# description: El inserto de los Iniciados de Danu del Bendito: tus compañeros iniciados como seguidores, con sus movimientos, su Coste y su Lealtad.
PAGE	145
HR
P	Iniciados de Danu. Bendito: si tomaste el trasfondo Iniciado, elegiste a 2 o 3 de los siguientes como tus compañeros iniciados. Marca a los que elegiste y trátalos como seguidores. Tacha a los demás.
HR
ICON	icons/default.svg
H3	Enfys, la acólita
P	<i>Entendida en aves</i>, <i>inocente</i>, <i>mágica</i>, <i>bien informada</i>
P	<b>HP</b> 6; <b>Armadura</b> 0 <b>HP</b>
P	<b>Daño</b> cuchillo de bronce d4 (<i>mano</i>)
P	<b>Instinto</b> distraerse
P	• Hablar con los pájaros Máx. 6
P	• Hacer una pregunta difícil
P	• Irse por ahí
P	<b>Coste</b> conocimiento, saberes secretos; <b>Lealtad</b> ◇◇◇
P	Elige 1 de cada línea: él ella elle
C	apenas una niña a punto de florecer una joven adulta
C	escogida con esmero marcada por Danu huérfana
C	despreocupada curiosa taciturna reservada
HR
ICON	icons/default.svg
H3	Afon, un compañero iniciado
P	<i>Entendido en Fae</i>, <i>taimado, mágico, autosuficiente, sigiloso</i>
P	<b>HP</b> 8; <b>Armadura</b> 2 (0 contra el hierro) <b>HP</b> <b>Daño</b> hacha pequeña de bronce d6 (<i>mano</i>)
P	<b>Instinto</b> actuar por impulso
P	• Tejer un pequeño encanto Máx. 8
P	• Aparecer o desaparecer de improviso
P	• Decir una verdad incómoda
P	<b>Coste</b> asombro, alegría; <b>Lealtad</b> ◇◇◇
P	Elige 1 de cada línea: él ella elle
C	va y viene por el Bosque una choza cerca del pueblo
C	distante procaz y lascivo inquietante ritos de... éxtasis embriaguez luz de luna
HR
ICON	icons/default.svg
H3	Gwendyl, tu mentora
P	<i>Entendida en hierbas</i>, <i>chismosa</i>, <i>incansable</i>, <i>sanadora</i>, <i>mágica</i>
P	<b>HP</b> 6; <b>Armadura</b> 0 <b>HP</b>
P	<b>Daño</b> cuchillo de hierro d6 (<i>mano</i>)
P	<b>Instinto</b> ofenderse
P	• Atender a enfermos, heridos Máx. 6 y parturientas
P	• Tejer un talismán de fertilidad o buena suerte
P	• Señalar un defecto en una persona o un plan
P	<b>Coste</b> consideración, afecto; <b>Lealtad</b> ◇◇◇
P	Elige 1 de cada línea: él ella elle
C	una gran familia te acogió vive sola
C	directa exigente sacrificada no tolera necios ritos de... tierra y suelo duelo súplica
ICON	icons/default.svg
H3	Olwin, tu amante ungido
P	<i>Entendido en destinos</i>, <i>hermoso</i>, <i>apasionado</i>, <i>mágico</i>
P	<b>HP</b> 6; <b>Armadura</b> 1 (escudo) <b>HP</b> <b>Daño</b> lanza de hierro d6 (<i>cerca</i>, <i>arrojadizo</i>)
P	<b>Instinto</b> carecer de discreción
P	• Realizar una adivinación Máx. 6
P	• Pronunciar una profecía (funesta)
P	• Montar un drama por algo
P	<b>Coste</b> ternura, respeto; <b>Lealtad</b> ◇◇◇
P	Elige 1 de cada línea: él ella elle
C	prometidos amor verdadero ceremonial complicado
C	llevacontrarias dramático apasionado atormentado ritos de... sangre fuego unión sagrada
ICON	icons/default.svg
H3	Seren, la más anciana
P	<i>Excepcional, entendida en historias, perspicaz, frágil, mágica</i>
P	<b>HP</b> 3; <b>Armadura</b> 0 <b>HP</b> <b>Daño</b> bastón de caminar d4 (<i>cerca</i>)
P	<b>Instinto</b> aferrarse a la tradición
P	• Consultar a los espíritus, Máx. 3 o conjurarlos
P	• Hilar un cuento para dejar clara una idea
P	• Usar la vergüenza y la culpa como palanca
P	<b>Coste</b> deferencia, que se muestre sensatez; <b>Lealtad</b> ◇◇◇
P	Elige 1 de cada línea: él ella elle
C	desdeñada compadecida temida venerada
C	esquiva amable pero firme imperiosa ritos de... hierro nombre secreto invierno
P	<b>DAR ÓRDENES A LOS SEGUIDORES</b>
P	Cuando <b><i>les indicas que hagan un movimiento y</i></b> <b><i>lo hacen,</i></b> tira +1 en vez de +ESTADÍSTICA si aplica alguna de sus etiquetas (o +2 si además son <i>excepcionales</i>). Si no aplica ninguna etiqueta, tira +0. Si alguna de sus etiquetas estorbara, tira con desventaja.
P	Cuando <b><i>están sin órdenes</i></b> o <b><i>actúan por</i></b> <b><i>iniciativa propia</i></b>, el DJ dice qué hacen y cómo les va.
HR
P	<b>FORTALECER EL VÍNCULO</b>
P	Cuando <b><i>pagas su coste</i></b> y no lo has hecho hace poco, guardan +1 de Lealtad (máx. 3).
P	Gasta su Lealtad 1 a 1 para que:
B	Venzan su miedo y hagan lo que dices
B	Se resistan a actuar según su instinto/etiquetas/rasgos
B	Hagan algo que no quieren hacer (siempre que no sea aberrante ni suicida)
