# inserts · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: c08ccb1cbebe1b7f4a3675fd611c2df0e4d8235bca67263d9969cee039af605d
# title: Insertos
# nav_label: Insertos
# description: Los insertos de Stonetop: Inventario, Compañero Animal, Cuadrilla, Iniciados de Danu, Invocaciones y el genérico, más Fantasma, Aparecido y Siervo.
PAGE	141
P	Tu PJ tendrá al menos un inserto, una hoja de media página a doble cara que puedes meter dentro de tu libreto plegado. Los PDF vienen incluidos en el kit de juego de la web de Lampblack
P	& Brimstone, pero los insertos también se incluyen en este capítulo como referencia.
P	Todo PJ recibe la hoja de <b>Inventario</b> (página 142). Consulta <b>Equipo y posesiones</b> en la página 86 para una explicación de cómo se usa este inserto. El reverso del inserto variará según tu libreto y las elecciones que hayas hecho.
P	Si eres…
E	<b>el Guardabosques con el movimiento de compañero animal</b>, recibes el inserto de <b>Compañero</b> <b>Animal</b> (página 143), por supuesto;
E	<b>el Mariscal</b>, recibes el inserto de la <b>Cuadrilla</b> (página 144);
E	<b>el Bendito con el trasfondo Iniciado</b>, recibes el inserto de los <b>Iniciados de</b> <b>Danu</b> (página 145);
E	<b>el Portaluz</b>, recibes el inserto de <b>Invocaciones</b> (página 146);
P	En caso contrario, recibes un inserto <b>genérico</b> (página 147) con espacio para llevar la cuenta de tus seguidores y un resumen de tu agenda, tus principios y tus reglas de jugador.
P	El PDF del kit de juego está preparado para imprimir la hoja de Inventario en una página y la hoja específica del libreto (o las hojas genéricas de seguidores/agenda) en el reverso. En este capítulo solo se incluye una copia de cada hoja.
H3	Libretos e insertos
P	También hay tres insertos que pueden obtenerse como resultado del movimiento A las Puertas de la Muerte y de tomar malas decisiones: el <b>Fantasma</b> (página 148), el <b>Aparecido</b> (página 150) y el <b>Siervo</b> (página 152). Estos insertos suelen imprimirse a doble cara en media hoja de papel. Solo tomas uno de ellos cuando resulta relevante.
P	Además de los insertos presentados en este capítulo, también podrías recibir un inserto que representa un <b>arcano mayor</b> (página 60).
P	El Buscador empieza a jugar con un arcano mayor según indique su trasfondo; y si eliges el libreto del Duro con el trasfondo «Marcado por la Tormenta», empiezas a jugar con el arcano mayor Las Marcas de la Tormenta.
P	Los encontrarás en el Apéndice D: Arcanos
P	mayores (<i>Libro II</i>, página 540).
