# minor-bronze-protector · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 6040d04858ebda494bdc51cbdd45697a72beb5652974cf71cc71c9a495241d1c
# title: Protector de Bronce
# nav_label: Protector de Bronce
# description: Protector de Bronce (Bronze Protector), arcano menor de Stonetop: un hombre de metal roto que, reparado y animado por el espíritu de tu hogar, te sirve como guardián.
PAGE	533
H3	Un hombre de metal
P	<i>mágico</i>, <i>frágil</i>
P	Una estatua de bronce, aunque no es realmente una estatua, sino más bien piezas de armadura ingeniosamente unidas en torno a un esqueleto de tubos entrelazados. Y el «pecho» es menos un peto que una pequeña estufa panzuda. Bajo la pátina de la cosa apenas se distinguen unas runas intrincadas.
P	Está abollada, agrietada y despedazada, pero una búsqueda cuidadosa permitirá encontrar todas las piezas.
P	Está claro que no es una simple estatua, pero para desentrañar sus misterios necesitas…
C	… reparar el cuerpo, lo que le lleva una estación entera a un herrero <i>excepcional</i> (Valor 3).
C	… pasar unas semanas reparando las runas, con el riesgo de cometer un error que las vuelva ineficaces o inestables.
C	… convencer al espíritu de tu propio hogar para que habite la estufa y anime el constructo.
H3	Protector de Bronce
P	Preparación: ◇◇◇◇
P	Mientras <b><i>arda fuego en el pecho con forma de estufa</i></b>, el espíritu del hogar animará el constructo. Trátalo como un seguidor.
ICON	icons/construct.svg
H3	Protector de bronce
P	<i>Constructo, espíritu, duradero, vigilante,</i> <i>dominante, mudo, crédulo</i>
P	<b>HP</b> 13; <b>Armadura</b> 3 (metal)
P	<b>Daño</b> aporrear 1d8 (<i>mano</i>)
P	<b>Cualidades especiales</b> inmune al fuego; guarda +1 de Preparación con 7+ al Defender; necesita una herrería y herramientas para recuperar HP <b>Instinto</b> protegerte con un celo excesivo
P	• Cernirse amenazante, echando humo
P	• Provocar incendios, causar daños colaterales
P	• Quedarse sin combustible
P	<b>Coste</b> gratitud efusiva (Lealtad: ◇◇◇ )
P	<b>HP</b>
P	Empieza en 13
