# minor-call-of-the-hunt · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: ec49800ea810eb7cfe739534bcfa67d520f9b0fbbf0201ffee5977fc3661fa87
# title: Llamada de la Cacería
# nav_label: Llamada de la Cacería
# description: Llamada de la Cacería (Call of the Hunt), arcano menor de Stonetop: una piel de lobo habitada por el espíritu de la Cacería que te da aspecto de lobo y convoca a una manada contra tu presa.
PAGE	523
H3	Una piel de lobo
P	<i>mágico</i>, <i>abrigado</i>
P	Debió de ser una bestia majestuosa; está bien conservada, con piedras pálidas por ojos y un broche para llevarla como una capa con capucha. Pero por mucho que frotes, las manchas rojas nunca se van de sus dientes.
P	La piel alberga un espíritu poderoso, no solo el de un lobo, sino el de la propia Cacería. Para desentrañar sus secretos, debes…
C	… cazar una bestia a la luz de la luna, a solas, mientras llevas puesta la piel.
C	… arrancarle el hígado con las manos desnudas o con los dientes y comértelo crudo.
H3	Llamada de la Cacería
P	Cuando <b><i>aúllas a la luna naciente, con la cara untada</i></b> <b><i>de sangre y sin más ropa que la piel</i></b>, adoptas el aspecto de un lobo y llamas a una manada a tu lado.
P	Nombra a tu presa y tira...
E	+1 si tienes su rastro;
E	+1 si está sola, pero -1 si no; y
E	-1 si no temería a una manada de lobos.
P	<b>Con 7+</b>, acorralas a tu presa e infliges 2d6+4 de daño (<i>sucio</i>) antes de que la manada se disperse y te despojes de tu yo lobuno; <b>con 10+</b>, además elige 1;
P	<b>con 7-9</b>, además elige 2.
B	Tu manada despedaza a uno o más inocentes
B	Sufres tú mismo 2d6+4 de daño <i>sucio</i>
B	Tu instinto pasa a ser «actuar como un lobo sanguinario» hasta que Subas de Nivel.
P	<b>Con 6-</b>, tu presa se te escapa y aun así debes elegir 2 de la lista de arriba.
P	32
