# minor-chimeric-transmogrification · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: f6c0e221926acc7e9308ae5981a57388e7a965164b800d2e52ef536405c577f2
# title: Transmogrificación Quimérica
# nav_label: Transmogrificación Quimérica
# description: Transmogrificación Quimérica (Chimeric Transmogrification), arcano menor de Stonetop: una vitela de los Señores Verdes con un hechizo que otorga a una criatura los rasgos de otra bestia.
PAGE	521
H3	Una vitela tensada
P	◇◇, <i>frágil</i>
P	Tensada sobre un bastidor de madera, esta vieja vitela está llena de los intrincados glifos en espiral de los Señores Verdes (Green Lords). Unos dibujos muestran criaturas que cambian para adquirir rasgos de otras bestias. Parece ser la base de algún tipo de hechizo.
P	Para desentrañar sus misterios y aprender el hechizo, debes…
C	… descifrar los glifos de los Señores Verdes.
C	… pasar unas semanas estudiándolos y reflexionando sobre ellos.
C	… experimentar con una bestia de tamaño al menos <i>pequeño</i>, como una cabra, un cerdo o un perro. Te arriesgas a matar, lisiar o mutar horriblemente a la bestia, y quizá a volverla loca.
H3	Transmogrificación Quimérica
P	Cuando <b><i>muestras un trozo de una bestia (pelaje, hueso,</i></b> <b><i>etc.) y pronuncias sobre otra las palabras de la transmogrificación quimérica</i></b>, tira +INT: <b>con 10+</b>, el hechizo funciona; <b>con 7-9</b>, el hechizo funciona, pero solo si marcas una debilidad.
P	Cuando <b><i>el hechizo funciona</i></b>, tira 1d10+CON. Si tu tirada <b>iguala o supera los HP actuales del objetivo</b>, nombra un rasgo de la bestia que sostienes: la forma del objetivo se retuerce y se deforma, y adquiere ese rasgo hasta que duerma unas horas. La experiencia es desorientadora y alarmante; la mayoría de las bestias y las personas entrarán en pánico. Si sacas <b>menos que los HP</b> <b>actuales del objetivo</b>, su forma se retuerce y se deforma de manera alarmante durante unos segundos, pero resiste la transformación. <b>En cualquier caso</b>, el trozo de la bestia que sostienes se pierde y se marchita hasta desaparecer.
